Loc,Item,Description,Common Name
CA,074722,AGAVE ATTENUATA RAY OF LIGHT,Variegated Fox Tail Agave                                   
CA,034822,AGAVE BRACTEOSA,Squid Agave                                                 
CA,074122,AGAVE BRACTEOSA CALAMAR,Calamar Squid Agave                                         
CA,021595,AGAVE DESMETTIANA VARIEGATA,Variegated Dwarf Agave                                      
CA,074132,AGAVE DURANGO,Thread-leaf Agave                                           
CA,021615,AGAVE GEMINIFLORA,Twin Flowered Agave                                         
CA,092822,AGAVE OCA X ATT BLUE GLOW,Blue Glow Agave                                             
CA,025222,AGAVE PARRYI VAR TRUNCATA,Artichoke Agave                                             
CA,064081,ALOE BLUE ELF,Blue Elf Aloe                                               
CA,063801,ALOE DOROTHEAE,Retro Succulents®  Sunset™  Aloe
CA,077801,ALOE HYBRID CARMINE TM,Retro Succulents®  Carmine™  Aloe
CA,063791,ALOE HYBRID CHRISTMAS CAROL,Christmas Carol Aloe                                        
CA,077811,ALOE HYBRID DONNIE TM,Retro Succulents®  Donnie™  hybrid Aloe
CA,077781,ALOE HYBRID GUIDO TM,Retro Succulents®  Guido™  Aloe
CA,079142,BESCHORNERIA FLMNG GLW P22162,Flamingo Glow Mexican Lily                                  
CA,025345,DASYLIRION LONGISSIUM,Mexican Grass Tree                                          
CA,029585,DASYLIRION WHEELERI,Silver Desert Spoon                                         
CA,040801,HIB R AMOUR,Amour Hibiscus                                              
CA,040871,HIB R BRIDAL VEIL R,Bridal Veil®  Hibiscus
CA,040901,HIB R BRILLIANT,Brilliant Hibiscus                                          
CA,055241,HIB R C'EST BON,C'est Bon Cajun Hibiscus                                    
CA,040981,HIB R CHERIE,Cherie Hibiscus                                             
CA,041031,HIB R CROWN OF BOHEMIA,Crown Of Bohemia Hibiscus                                   
CA,041111,HIB R EMPIRE,Empire Hibiscus                                             
CA,025205,HIB R ERIN RACHEL,Erin Rachel Hibiscus                                        
CA,041151,HIB R FIESTA,Fiesta Hibiscus                                             
CA,017371,HIB R FLAMENCO FLAME TM,Flamenco Flame™  Hibiscus
CA,041205,HIB R FULLMOON R,Fullmoon®  Hibiscus
CA,041251,HIB R GOLDEN DUST,Golden Dust Hibiscus                                        
CA,055255,HIB R HEAT FLASH,Heat Flash Cajun Hibiscus                                   
CA,041305,HIB R HULA GIRL,Hula Girl Hibiscus                                          
CA,041351,HIB R POWDER PUFF R,Powder Puff®  Hibiscus
CA,091421,HIB R RED DARLING R,Red Darling®  Hibiscus
CA,041501,HIB R RED DRAGON R,Red Dragon®  Hibiscus
CA,039791,HIB R SEMINOLE SINGLE,Seminole Single Hibiscus                                    
CA,041595,HIB R THE PATH,The Path Hibiscus                                           
CA,058201,LIGUSTRUM TEXANUM,Waxleaf Privet                                              
CA,037425,LORO C EVER RED R,Ever Red®  Fringe Flower
CA,04020,"LORO C PIPA""S RED",Pipa's Red Chinese Fringe Flower
CA,059235,LORO C RUBRUM RAZZLEBERRI R,Razzleberri®  Fringe Flower
CA,098402,LORO C SNOW PANDA,Snow Panda Fringe Flower                                    
CA,059191,LORO C SIZZLING PINK,Sizzling Pink Fringe Flower
CA,00993,LORO C SUZANNE,Suzanne Fringe flower
CA,00994,LORO C ZHUZHOU FUCHSIA,Zhuzhou Fuchsia Fringe Flower
CA,066001,PITT TOB WHEELERS DWARF,Wheeler's Dwarf Japanese Mock Orange                        
CA,065921,PITT TOB TURNERS DWARF,Turner's Pitt Mock orange
CA,065871,PIT TOB CRÈME DE MINT,Cream De Mint Dwarf Mock Orange
CA,067701,PYRACANTHA ANG YUKON BELLE R,Yukon Belle®  Pyracantha
CA,069001ST,PYRACANTHA KOID VICTORY,Victory Pyracantha                                          
CA,068505ES,PYRACANTHA X MOHAVE,Mohave Pyracantha                                           
CA,068602,PYRACANTHA X RED ELF TM,Red Elf™  Pyracantha
CA,039825,PYRACANTHA X SLVRLNG TM P15517,Silver Lining™  Pyracantha
CA,020061,RHAPH GEORGIA PETITE P9983,Georgia Petite Indian Hawthorn                              
CA,069851,RHAPH IND INDIAN PRINCESS R,Indian Princess®  Indian Hawthorn
CA,021371,RHAPH INDICA BALLERINA,Ballerina Indian Hawthorne                                  
CA,046751,RHAPH U RUTRHAPH STHRN MOON TM,Southern Moon®  Yedda Hawthorn
CA,069921,RHAPH UMBELLATA MINOR,Dwarf Yedda Hawthorn                                        
CA,069607PT,RHAPH X MAJESTIC BEAUTY R,Majestic Beauty®  Indian Hawthorn
