Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,655,ACER PALMATUM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,03033M,ACER SHIR AUTUMN MOON,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,30335,ACER SHIR AUTUMN MOON,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,50011,AGAPANTHUS BLUE LEAP,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,29351,AQUILEGIA CAE ORIGAMI MIX,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,19461,ARMERIA MAR RUBRIFOLIA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,34331,ASTILBE MAGGIE DALEY,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,1681,ASTILBE RED SENTINEL,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,3561,AUCUBA MR GOLDSTRIKE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,8362,AZALEA NL MANDARIN LIGHTS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,50021,BEESIA DELTOPHYLLA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,23941,BER CRIMSON RUBY R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,23942,BER CRIMSON RUBY R PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080772S,BER SUNJOY R MINI SALSA PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12051,BER T CRIMSON PYGMY,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,35232,BER T GOLDEN RUBY R PP16203,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,35242,BER T PYGMY RUBY TM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12212,BER T ROYAL BURGUNDY R P9461,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,13952,BUXUS J GREEN BEAUTY,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,077421S,BUXUS MIC WEDDING RING TM PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,13881,BUXUS SEMP VARIEGATA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,13882,BUXUS SEMP VARIEGATA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,22361,CAMPANULA PORTENSCHLAGIANA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,56195,CLEM ARMANDII APPLEBLOSSOM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27431,CLEM MONTANA FREDA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27401,CLEM MONTANA RUBENS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,48742,CLEM VANCOUVER TM STARRY NGHTS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,21782,CLEM X ARABELLA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27261,CLEM X JACKMANII,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,44481,CLEM X JACKMANII SUPERBA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27442,CLEM X NELLY MOSER,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27461,CLEM X NIOBE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27481,CLEM X RAMONA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,27491,CLEM X ROUGE CARDINAL,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,30395,CORNUS X VENUS R PP16309,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,28171,CORYDALIS FLEX CHINA BLUE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,57452,CROCOSMIA COLUMBUS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,31571,DEUTZIA GRACILIS NIKKO,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,4901,DICENTRA SP VALENTINE R P22739,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,31611,DICENTRA X LUXURIANT,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,18221,ECHINACEA PUR RUBY STAR,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,33601,EUO ALATUS COMPACTUS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,33602,EUO ALATUS COMPACTUS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,84912,FERN-POLYSTICHUM MUNITUM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,89291,GR-HAKONECHLOA FUBUKI PP21757,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,38681,GR-HAKONECHLOA MACRA AUREOLA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,89051,HELLE WINDCLIFF DBL PINK SDLNG,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,96131,HELLE WJEWELS R AMETHYST GEM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,96141,HELLE WJEWELS R HARLEQUIN GEM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,96161,HELLE WJEWELS R JADE TIGER,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,68061,HELLE WJEWELS R PAINTED DBLS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,96151,HELLE WJEWELS R SPRKLG DIAMOND,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,36691,HEUCHERA ROSE MAJESTY PP17414,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,41771,HOSTA GOLDEN PRAYERS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,63832,HYD ANG GOLDEN CRANE R,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074522S,HYD ARB INCREDIBALL R PP20571,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,92752,HYD BLUE ENCHANTRESS R PP25209,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080952S,HYD PAN BOBO R PP22782,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,024372S,HYD PAN LIMELIGHT PP12874,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,35012,HYD PET MIRANDA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,41701,HYD PETIOLARIS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,41702,HYD PETIOLARIS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,19651,ILEX X RED BEAUTY R PP14750,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,50702,JUN H WILTONII,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,53391,JUN SQUA BLUE STAR,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,9081,LAMIUM ORCHID FROST PP11122,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,58941,LITHODORA GRACE WARD,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,84391,LONICERA PCHES & CREAM PP21839,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,29611,LUPINUS POL MINARETTE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,36652,MAHONIA X CHARITY,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,63231,OSMANTHUS HET GOSHIKI,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,63232,OSMANTHUS HET GOSHIKI,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,06335UT,PACHYSANDRA TERM GREEN SHEEN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,47085,PAEONIA ITOH KEIKO TM (PK D D),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,47075,PAEONIA ITOH YUMI TM (YLW),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,19522,PAEONIA X BOWL OF BEAUTY (PK),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,16252,PAEONIA X BOWL OF CREAM (WT),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,50282,PAEONIA X BUCKEYE BELLE (RED),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,36332,PAEONIA X INSPECTEUR LAVERGNE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,63742,PAEONIA X KANSAS (RED),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,24272,PAEONIA X PAUL M WILD (RED),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,46072,PAEONIA X RASPBERRY SUNDAE(PK),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,46122,PAEONIA X SEA SHELL (PINK),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,63932,PHYSOCARPUS DIABOLO R P11211,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,68262,PHYSOCARPUS OPU DART'S GOLD,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,064625SP,PICEA GL CONICA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,65162,PIERIS J LITTLE HEATH,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,49535,PIERIS J WHITE PEARL,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,15161,POLYGONATUM FAL VARIEGATUM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,67152,PRUNUS LAUR OTTO LUYKEN,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,10355,RHOD (H-3) VIRGINIA RICHARDS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,78182,ROSA FLWR CAR R CORAL PP14441,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,70611,SALIX INTEGRA HAKURO NISHIKI,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,70591,SALVIA NEMOROSA EAST FRIESLAND,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,70501,SARCOCOCCA HUMILIS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,70502,SARCOCOCCA HUMILIS,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,70511,SARCOCOCCA RUSCIFOLIA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,70512,SARCOCOCCA RUSCIFOLIA,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,72022,SYRINGA PATULA MISS KIM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,74202,VIB DAVIDII,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,76131,VINCA MINOR BOWLES',EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080942S,WEIGELA SONIC BLOOM TM PNK PAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,66705,ZELKOVA SERRATA GOLD FALLS TM,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,1881,AGAPANTHUS X MIDKNIGHT BLUE R,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,078781S,AZ BLM-A-THON TM WHITE PP21512,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,11435,BAM-PHYLLO AUREOSULCATA (RUN),EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,12031,BER GOLDN NUGGET TM P9577 CBR,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074741S,BER SUNJOY R GOLD PILLAR PPAF,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
