Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000905ST,ACER PAL WATERFALL,TRE, 3 , 3 , 3 , 3 , 3 , 159.00 ,,5/1/2014
550000,021251,AGASTACHE X BLUE FORTUNE,PRN, 15 , 15 , 15 , 15 , 15 , 15.95 ,,5/1/2014
550000,092822,AGAVE OCA X ATT BLUE GLOW,CAC, 5 , 5 , 5 , 5 , 5 , 56.95 ,,5/1/2014
550000,064081,ALOE BLUE ELF,CAC, 10 , 10 , 10 , 10 , 10 , 20.95 ,,5/1/2014
550000,077801,ALOE HYBRID CARMINE TM,CAC, 10 , 10 , 10 , 10 , 10 , 24.95 ,,5/1/2014
550000,003381,ASTER FRIKARTII MOENCH,PRN, 15 , 15 , 15 , 15 , 15 , 15.95 ,,5/1/2014
550000,023191,ASTRANTIA ABBEY ROAD PP14961,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,007401,AZALEA GR FUCHSIA,RHO, 10 , 10 , 10 , 10 , 10 , 19.90 ,,5/1/2014
550000,035041BH,BOUG BENGAL ORANGE,VIN, 10 , 10 , 10 , 10 , 10 , 22.95 ,,5/1/2014
550000,013051BH,BOUG PURPLE QUEEN R,VIN, 10 , 10 , 10 , 10 , 10 , 22.95 ,,5/1/2014
550000,013231BH,BOUG ROSENKA,VIN, 10 , 10 , 10 , 10 , 10 , 22.95 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS, 5 , 5 , 5 , 5 , 5 , 49.90 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS, 15 , 15 , 15 , 15 , 15 , 49.90 ,,5/1/2014
550000,077415,BUD LO&BEHLD R PRPL HAZE PPAF,DCS, 5 , 5 , 5 , 5 , 5 , 77.90 ,,5/1/2014
550000,013771,BUDDLEJA DAV PETITE INDIGO R,DCS, 10 , 10 , 10 , 10 , 10 , 19.90 ,,5/1/2014
550000,013775,BUDDLEJA DAV PETITE INDIGO R,DCS, 10 , 10 , 10 , 10 , 10 , 64.90 ,,5/1/2014
550000,013761,BUDDLEJA DAV PETITE PLUM R,DCS, 10 , 10 , 10 , 10 , 10 , 19.90 ,,5/1/2014
550000,013765,BUDDLEJA DAV PETITE PLUM R,DCS, 10 , 10 , 10 , 10 , 10 , 64.90 ,,5/1/2014
550000,013891,BUXUS GREEN VELVET,EVS, 20 , 20 , 20 , 20 , 20 , 22.90 ,,5/1/2014
550000,022711,CAMPSIS BALBOA SUNSET R,VIN, 10 , 10 , 10 , 10 , 10 , 22.90 ,,5/1/2014
550000,022551,CAMPSIS MADAME GALEN,VIN, 10 , 10 , 10 , 10 , 10 , 22.90 ,,5/1/2014
550000,029212,CANNA TROP BLACK TM PP21350,PRN, 10 , 10 , 10 , 10 , 10 , 49.95 ,,5/1/2014
550000,022482,CANNA TROPICANNA TM PP10569,PRN, 10 , 10 , 10 , 10 , 10 , 49.95 ,,5/1/2014
550000,023912,CHAM OBT TEMPELHOF,CON, 5 , 5 , 5 , 5 , 5 , 51.90 ,,5/1/2014
550000,024185,CHIONANTHUS VIRGINICUS,TRE, 2 , 2 , 2 , 2 , 2 , 94.90 ,,5/1/2014
550000,023021,CHRYS (LEUCANTH) X SUP BECKY,PRN, 15 , 15 , 15 , 15 , 15 , 24.95 ,,5/1/2014
550000,017421,CORDYLINE RED STAR,EVS, 10 , 10 , 10 , 10 , 10 , 24.95 ,,5/1/2014
550000,028145,COTINUS COG ROYAL PURPLE,DCS, 5 , 5 , 5 , 5 , 5 , 85.90 ,,5/1/2014
550000,035621,DICENTRA SPEC GOLD HEART,PRN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
550000,097211,ECHIN SMBRO TM FLMNCO ORNG,PRN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
550000,086821,ECHIN SMBRO TM HOT CORL P23097,PRN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
550000,032021,EPIMEDIUM GRAND ROSE QUEEN,PRN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
550000,036785,FICUS CAR BROWN TURKEY,TRE, 5 , 5 , 5 , 5 , 5 ,     ,,5/1/2014
550000,037611,GAILLARDIA GOBLIN,PRN, 30 , 30 , 30 , 30 , 30 , 17.95 ,,5/1/2014
550000,037701SPT,GARDENIA AUGUST BEAUTY,EVS, 5 , 5 , 5 , 5 , 5 , 18.95 ,,5/1/2014
550000,037705PT,GARDENIA AUGUST BEAUTY,EVS, 2 , 2 , 2 , 2 , 2 , 98.00 ,,5/1/2014
550000,035681,GAURA L WHIRLING BUTTERFLIES,PRN, 10 , 10 , 10 , 10 , 10 , 15.95 ,,5/1/2014
550000,005231,GERANIUM SANGUINEUM MAX FREI,PRN, 25 , 25 , 25 , 25 , 25 , 15.95 ,,5/1/2014
550000,038681,GR-HAKONECHLOA MACRA AUREOLA,GRS, 10 , 10 , 10 , 10 , 10 , 25.95 ,,5/1/2014
550000,022201,GR-PENN SET FIREWORKS PP18504,GRS, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,06427UT,GR-PENN SET RUBRUM,GRS, 16 , 16 , 16 , 16 , 16 , 11.95 ,,5/1/2014
550000,068061S,HELLE WJEWELS R PAINTED DBLS,PRN, 10 , 10 , 10 , 10 , 10 , 28.95 ,,5/1/2014
550000,054491,HEUCHERA AUTUMN LEAVES PPAF,PRN, 10 , 10 , 10 , 10 , 10 , 22.95 ,,5/1/2014
550000,023101,HEUCHERA FROSTED VIOLET P15085,PRN, 10 , 10 , 10 , 10 , 10 , 18.95 ,,5/1/2014
550000,002261,HIB SYR HELENE,DCS, 10 , 10 , 10 , 10 , 10 ,     ,,5/1/2014
550000,031871,HOSTA ABIQUA DRINKING GOURD,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,403531,HOSTA BLUE MOUSE EARS,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,403611,HOSTA EARTH ANGEL,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,068241S,HOSTA EMPRESS WU PP20774,PRN, 20 , 20 , 20 , 20 , 20 , 25.95 ,,5/1/2014
550000,042981,HOSTA FIRST FROST,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,041861,HOSTA FLUCTUANS VARIEG (SAGAE),PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,403491,HOSTA FRAGRANT BOUQUET,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,041691,HOSTA FRANCEE,PRN, 20 , 20 , 20 , 20 , 20 , 18.95 ,,5/1/2014
550000,017521,HOSTA GUACAMOLE,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,031891,HOSTA HADSPEN BLUE,PRN, 20 , 20 , 20 , 20 , 20 , 20.95 ,,5/1/2014
550000,017531,HOSTA JUNE,PRN, 20 , 20 , 20 , 20 , 20 , 20.95 ,,5/1/2014
550000,017531,HOSTA JUNE,PRN, 10 , 10 , 10 , 10 , 10 , 20.95 ,,5/1/2014
550000,40158UT,HOSTA PANDORAS BOX,PRN, 16 , 16 , 16 , 16 , 16 , 15.95 ,,5/1/2014
550000,403561,HOSTA PARADIGM,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,041881,HOSTA PATRIOT,PRN, 10 , 10 , 10 , 10 , 10 , 21.95 ,,5/1/2014
550000,062011,HOSTA PAUL'S GLORY,PRN, 10 , 10 , 10 , 10 , 10 , 19.95 ,,5/1/2014
