Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
2015,00107M,ACER PAL ATROLINEARE,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
2015,001075,ACER PAL ATROLINEARE,EVS,39,4,0,0,4,$18.50 ,,
2015,096085,ACTINIDIA ARG HARDY MALE,EVS,660,42,0,0,42,$8.50 ,,
2015,412102,AGAPANTHUS PRAE QUEEN MUM PPAF,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412521,AGASTACHE KUDOS GOLD PPAF,,,,,,,,,
2015,408331,AGASTACHE LITTLE ADDER PPAF,,,,,,,,,
2015,412802,ALOCASIA EBONY PPAF,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412541,ASTILBE DELFT LACE,,,,,,,,,
2015,412541,ASTILBE DELFT LACE,,,,,,,,,
New ,400873,AZALEA NL CANDY LIGHTS PPAF,,,,,,,,,
New ,400883,AZALEA NL LEMON LIGHTS,,,,,,,,,
New ,400903,AZALEA NL TRI-LIGHTS TM PPAF,,,,,,,,,
2015,412551,BAPTISIA PRAIRIEBLUES TM MDNGT,,,,,,,,,
2015,095732BH,BOUG SUNVILLEA TM ROSE PP23272,,,,,,,,,
2015,089382,BREYNIA DISTICHA ROSEOPICTA,,,,,,,,,
New ,408391,CAMPANULA CAR RAPIDO BLUE,,,,,,,,,
New ,408401,CAMPANULA CAR RAPIDO WHITE,,,,,,,,,
2015,408421,CAMPANULA GLOM GENTI BLUE PPAF,,,,,,,,,
2015,408421,CAMPANULA GLOM GENTI BLUE PPAF,,,,,,,,,
2015,408411,CAMPANULA GLOM GENTI WHITE PAF,,,,,,,,,
2015,408411,CAMPANULA GLOM GENTI WHITE PAF,,,,,,,,,
2015,090183S,CEPHALANTHUS SUGAR SHCK TM PAF,,,,,,,,,
2015,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
2015,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
2015,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
2015,412571,CHRY (LEU) REAL GALAXY PPAF,,,,,,,,,
2015,412571,CHRY (LEU) REAL GALAXY PPAF,,,,,,,,,
2015,412571,CHRY (LEU) REAL GALAXY PPAF,,,,,,,,,
New ,414542TE,CLEM BLVRD R CHROKEE TM P24171,,,,,,,,,
New ,414522TE,CLEM BLVRD R FLEURI TM PP24172,,,,,,,,,
New ,414532TE,CLEM BLVRD R NINON TM PPAF,,,,,,,,,
New ,414552TE,CLEM BLVRD R PRSNNE TM PP16069,,,,,,,,,
New ,414562TE,CLEM BLVRD R REBECCA TM P21583,,,,,,,,,
New ,414572TE,CLEM BLVRD R ZARA TM PPAF,,,,,,,,,
New ,414582TE,CLEM FLORA TM BIJOU TM PP15991,,,,,,,,,
New ,414602TE,CLEM RGL R DMANTINA TM PP20638,,,,,,,,,
New ,414612TE,CLEM RGL R EMPRESS TM P16072,,,,,,,,,
2015,408495,COLOCASIA RYL HWN R HAWAN PNCH,,,,,,,,,
2015,408491,COLOCASIA RYL HWN R HAWAN PNCH,,,,,,,,,
2015,408492,COLOCASIA RYL HWN R HAWAN PNCH,,,,,,,,,
2015,412585,COLOCASIA RYL HWN R MAUI GOLD,,,,,,,,,
2015,412581,COLOCASIA RYL HWN R MAUI GOLD,,,,,,,,,
2015,408551,CORE LIL' BANG TM DAYBREAK PAF,,,,,,,,,
2015,408551,CORE LIL' BANG TM DAYBREAK PAF,,,,,,,,,
2015,408541,CORE LIL' BANG TM RED ELF,,,,,,,,,
2015,408541,CORE LIL' BANG TM RED ELF,,,,,,,,,
2015,408531,CORE LIL' BANG TM STARLIGHT,,,,,,,,,
2015,408531,CORE LIL' BANG TM STARLIGHT,,,,,,,,,
2015,07569M,CORNUS KOUSA SUMMER GOLD PPAF,,,,,,,,,
2015,077325,CORNUS MAS GOLDEN GLORY,,,,,,,,,
2015,026525,CORNUS X HYPERION R PPAF,,,,,,,,,
2015,402243S,DEUTZIA YUKI SNOWFLAKE TM PPAF,,,,,,,,,
2015,402242S,DEUTZIA YUKI SNOWFLAKE TM PPAF,,,,,,,,,
2015,412591,DIAN WHETMAN STARS STARGAZER,,,,,,,,,
2015,412591,DIAN WHETMAN STARS STARGAZER,,,,,,,,,
2015,412591,DIAN WHETMAN STARS STARGAZER,,,,,,,,,
2015,412591,DIAN WHETMAN STARS STARGAZER,,,,,,,,,
2015,412601,DIAN WHETMAN STARS SUPERNOVA,,,,,,,,,
2015,412601,DIAN WHETMAN STARS SUPERNOVA,,,,,,,,,
2015,412601,DIAN WHETMAN STARS SUPERNOVA,,,,,,,,,
2015,412082,DIANELLA TAS WYEENA TM,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2015,08582UT,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
2015,085821,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
2015,085821,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
2015,085822,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
2015,085821,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
2015,412611,ECHIN DBL SCP TM CRANBRY PPAF,,,,,,,,,
2015,412621,ECHIN SUPREME FLAMINGO,,,,,,,,,
2015,054441,ECHINACEA FLAME THROWER P21932,,,,,,,,,
2015,050725,EUCRYPHIA LUC SPRING CREAM,,,,,,,,,
2015,050722,EUCRYPHIA LUC SPRING CREAM,,,,,,,,,
New ,068111,EUPHORBIA ASCOT RAINBOW PPAF,,,,,,,,,
2015,412631,GAILLARDIA FANFARE CITRNLA PAF,,,,,,,,,
2015,412631,GAILLARDIA FANFARE CITRNLA PAF,,,,,,,,,
2015,412641,GAILLARDIA FANFARE REGAL PPAF,,,,,,,,,
2015,412651,GAILLARDIA SUNSET CANDY PPAF,,,,,,,,,
2015,408811,GAILLARDIA SUNSET CELEBRATION,,,,,,,,,
2015,408811,GAILLARDIA SUNSET CELEBRATION,,,,,,,,,
2015,408761,GAILLARDIA SUNSET CUTIE PPAF,,,,,,,,,
2015,408751,GAILLARDIA SUNSET FLASH PPAF,,,,,,,,,
2015,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
2015,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
2015,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
2015,03778UT,GAULTHERIA PRO VERY BERRY,,,,,,,,,
2015,037781,GAULTHERIA PRO VERY BERRY,,,,,,,,,
2015,412661,GAURA L LITTLE JANIE,,,,,,,,,
2015,412661,GAURA L LITTLE JANIE,,,,,,,,,
2015,408831,GERANIUM MISS HEIDI PPAF,,,,,,,,,
2015,408831,GERANIUM MISS HEIDI PPAF,,,,,,,,,
2015,408831,GERANIUM MISS HEIDI PPAF,,,,,,,,,
New ,407673,GR-DESCHAMPSIA CAE PIXIE FNTN,,,,,,,,,
2015,005572,GR-MIS SIN MALEPARTUS,,,,,,,,,
New ,405003,GR-PAN VIR CHEYENNE SKY,,,,,,,,,
New ,405023,GR-PAN VIR RUBY RIBBONS P17944,,,,,,,,,
2015,405073,GR-PENN ALO FOXTROT,,,,,,,,,
2015,405083,GR-PENN ALO RED HEAD,,,,,,,,,
New ,40156UT,HEDERA HELIX DUCKFOOT,,,,,,,,,
New ,00584UT,HEDERA HELIX GLACIER,,,,,,,,,
2015,412821,HELENIUM AUT CAN CAN,,,,,,,,,
2015,413081,HELIOPSIS HEL SUNSTRUCK P25524,,,,,,,,,
New ,414781,HEM EVERYDAYLILY CREAM PPAF,,,,,,,,,
New ,414791,HEM EVERYDAYLILY PINK WING PAF,,,,,,,,,
New ,414811,HEM EVERYDAYLILY VLT IVORY PAF,,,,,,,,,
New ,414811,HEM EVERYDAYLILY VLT IVORY PAF,,,,,,,,,
2015,403241,HEUCHERA CHERRY COLA P22967,,,,,,,,,
2015,412671,HEUCHERA GRAPE SODA PPAF,,,,,,,,,
2015,412671,HEUCHERA GRAPE SODA PPAF,,,,,,,,,
2015,412671,HEUCHERA GRAPE SODA PPAF,,,,,,,,,
New ,091712S,HIB SYR LIL' KIM TM VIOLET,,,,,,,,,
New ,412681,HOSTA CURLY FRIES,,,,,,,,,
2015,40158UT,HOSTA PANDORAS BOX,,,,,,,,,
2015,062011,HOSTA PAUL'S GLORY,,,,,,,,,
2015,403621,HOSTA PRAYING HANDS,,,,,,,,,
2015,093131,HOSTA VICTORY,,,,,,,,,
2015,093131,HOSTA VICTORY,,,,,,,,,
2015,403862,HYD DBL DLT TM EXPRESN P18393,,,,,,,,,
2015,403863,HYD DBL DLT TM EXPRESN P18393,,,,,,,,,
2015,403923,HYD M NXT GEN RED SNSTN P18197,,,,,,,,,
2015,403782,HYD M NXT GEN WDNG RNG P21161,,,,,,,,,
New ,408931,IBERIS SEMP WHITEOUT,,,,,,,,,
New ,408931,IBERIS SEMP WHITEOUT,,,,,,,,,
New ,408931,IBERIS SEMP WHITEOUT,,,,,,,,,
New ,404132S,ILEX VERT LITTLE GOBLIN TM,,,,,,,,,
New ,404143,ILEX VERT WILDFIRE TM,,,,,,,,,
2015,080742,JASMINUM SUMMER SOUL TM PPAF,,,,,,,,,
2015,086671,KNIPH LEMON POPSICLE TM PPAF,,,,,,,,,
2015,086671,KNIPH LEMON POPSICLE TM PPAF,,,,,,,,,
New ,404362,LAG PURPLE MAGIC TM PPAF,,,,,,,,,
2015,404432,LAVAN INT PHENOMENAL PPAF,,,,,,,,,
2015,404431,LAVAN INT PHENOMENAL PPAF,,,,,,,,,
2015,086361S,LONICERA P SCENTSATION PP16240,,,,,,,,,
2015,409001,PENST ROCK CANDY TM PINK PPAF,,,,,,,,,
2015,409001,PENST ROCK CANDY TM PINK PPAF,,,,,,,,,
2015,409001,PENST ROCK CANDY TM PINK PPAF,,,,,,,,,
2015,409011,PENST ROCK CANDY TM PRPL PPAF,,,,,,,,,
2015,409011,PENST ROCK CANDY TM PRPL PPAF,,,,,,,,,
2015,412732,PHORMIUM DUSKY CHIEF,,,,,,,,,
2015,412742,PHORMIUM LIME CRUSH,,,,,,,,,
New ,049432,PIERIS J GAY GOBLIN TM,,,,,,,,,
2015,012693,PIERIS J PASSION,,,,,,,,,
2015,049095,PINUS MUGO BIG TUNA,,,,,,,,,
2015,412841,POTENTILLA TWINKLING STAR,,,,,,,,,
2015,082045,PRUNUS LAUR CHESTNUT HILL PPTB,,,,,,,,,
2015,082041,PRUNUS LAUR CHESTNUT HILL PPTB,,,,,,,,,
2015,081785,PRUNUS VIR CANADA RED,,,,,,,,,
New ,405702,RHOD (H-1) AMY COTTA,,,,,,,,,
New ,405632,RHOD (H-2) ABBY'S RE-VIEW,,,,,,,,,
New ,405582,RHOD (H-2) DOUBLE BESSE,,,,,,,,,
New ,405622,RHOD (H-2) HOLDEN'S SOLAR FLR,,,,,,,,,
2015,405753,RHOD (H-2) LANDMARK,,,,,,,,,
2015,405757,RHOD (H-2) LANDMARK,,,,,,,,,
2015,405755,RHOD (H-2) LANDMARK,,,,,,,,,
2015,405672,RHOD (H-2) MIDNIGHT RUBY,,,,,,,,,
2015,405673,RHOD (H-2) MIDNIGHT RUBY,,,,,,,,,
New ,405792,RHOD (H-2) PEARCE'S AMERCN BTY,,,,,,,,,
New ,405992,RHOD (H-2) SUGAR PUFF,,,,,,,,,
