Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,400445,ACER PAL RYUSEN PP18501,TRE, 4 , 4 , 4 , 4 , 4 , 197.20 ,,5/1/2014
550000,001651,AGAPANTHUS AFRICANUS,EVS, 10 , 10 , 10 , 10 , 10 , 46.80 ,,5/1/2014
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS, 10 , 10 , 10 , 10 , 10 , 65.90 ,,5/1/2014
550000,087422,ALOCASIA IVORY COAST PPAF,PRN, 5 , 5 , 5 , 5 , 5 , 65.90 ,,5/1/2014
550000,087432,ALOCASIA SERENGETI PPAF,PRN, 5 , 5 , 5 , 5 , 5 , 65.90 ,,5/1/2014
550000,066382,ALST ROCK & ROLL R PP21001,PRN, 10 , 10 , 10 , 10 , 10 , 125.40 ,,5/1/2014
550000,003621,ASTILBE CHINENSIS VISIONS,PRN, 10 , 10 , 10 , 10 , 10 , 41.70 ,,5/1/2014
550000,001641,ASTILBE JAPONICA EUROPA,PRN, 10 , 10 , 10 , 10 , 10 , 41.70 ,,5/1/2014
550000,001813,AZALEA GA KAREN,RHO, 20 , 20 , 20 , 20 , 20 , 242.20 ,,5/1/2014
550000,012202,BER T ROSE GLOW,DCS, 10 , 10 , 10 , 10 , 10 , 112.60 ,,5/1/2014
550000,012705PT,BOUG BARBARA KARST,VIN, 6 , 6 , 6 , 6 , 6 , 204.00 ,,5/1/2014
550000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS, 24 , 24 , 24 , 24 , 24 , 214.32 ,,5/1/2014
550000,401302,BUD SUMMER SKIES PP22465,DCS, 12 , 12 , 12 , 12 , 12 , 117.36 ,,5/1/2014
550000,013895,BUXUS GREEN VELVET,EVS, 25 , 25 , 25 , 25 , 25 , 542.00 ,,5/1/2014
550000,01395UTGL,BUXUS J GREEN BEAUTY,EVS, 32 , 32 , 32 , 32 , 32 , 136.00 ,,5/1/2014
550000,01370UTCN,BUXUS MIC FAULKNER,EVS, 32 , 32 , 32 , 32 , 32 , 156.48 ,,5/1/2014
550000,01388UT,BUXUS SEMP VARIEGATA,EVS, 32 , 32 , 32 , 32 , 32 , 136.00 ,,5/1/2014
550000,022711,CAMPSIS BALBOA SUNSET R,VIN, 12 , 12 , 12 , 12 , 12 , 76.56 ,,5/1/2014
