Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,028343,ABELIA GRA KALEIDOSCOPE P16988,EVS,,,,,,,,
170000,028345,ABELIA GRA KALEIDOSCOPE P16988,EVS,,,,,,,,
170000,025692,ABELIA GRA ROSE CREEK,EVS,,,,,,,,
170000,40044M,ACER PAL RYUSEN PP18501,TRE,,,,,,,,
170000,400445,ACER PAL RYUSEN PP18501,TRE,,,,,,,,
170000,029093ST,ACER PAL TAMUKEYAMA,TRE,,,,,,,,
170000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,
170000,001882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,
170000,001882,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,,,,,,,,
170000,400521,AGASTACHE HYB BLUE BOA PP24050,PRN,,,,,,,,
170000,001995,ALBIZIA J SUMMER CHOC PP13822,TRE,,,,,,,,
170000,001955,ALBIZIA JUL ROSEA,TRE,,,,,,,,
170000,412802,ALOCASIA EBONY PPAF,PRN,,,,,,,,
170000,002741,ANEMONE SYLVESTRIS,PRN,,,,,,,,
170000,038561,ANEMONE X SERENADE,PRN,,,,,,,,
170000,039021,ANEMONE X WILD SWAN TM PP23132,PRN,,,,,,,,
170000,003041,ARMERIA MAR BLOODSTONE,PRN,,,,,,,,
170000,025761,ARMERIA MAR NIFTY THRIFTY,PRN,,,,,,,,
170000,003621,ASTILBE CHINENSIS VISIONS,PRN,,,,,,,,
170000,027501,ASTILBE COLOR FLASH R PP17343,PRN,,,,,,,,
170000,003511,ASTILBE DEUTSCHLAND,PRN,,,,,,,,
170000,003541,ASTILBE RHEINLAND,PRN,,,,,,,,
170000,078762S,AZ BLM-A-THON TM DB PK PP21477,RHO,,,,,,,,
170000,078762S,AZ BLM-A-THON TM DB PK PP21477,RHO,,,,,,,,
170000,078771S,AZ BLM-A-THON TM RED PP21562,RHO,,,,,,,,
170000,078772S,AZ BLM-A-THON TM RED PP21562,RHO,,,,,,,,
