Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,099571,AGAPANTHUS BABY PETE TMPP21705,,,,,,,,,
,078751S,AZ BLM-A-THON TM LVNDR PP21476,,,,,,,,,
,078781S,AZ BLM-A-THON TM WHITE PP21512,,,,,,,,,
,078781S,AZ BLM-A-THON TM WHITE PP21512,,,,,,,,,
,012315,BETULA JACQUEMONTII,,,,,,,,,
,012705PT,BOUG BARBARA KARST,,,,,,,,,
,074412S,BUD LO&BEHLD R BLU CHP PP19991,,,,,,,,,
,074412S,BUD LO&BEHLD R BLU CHP PP19991,,,,,,,,,
,077392S,BUDDLEJA MISS MOLLY PPAF,,,,,,,,,
,090781,BUXUS GOLDEN TRIUMPH,,,,,,,,,
,035971,BUXUS WEE WILLIE R PP17007,,,,,,,,,
,013991,CALLICARPA BOD PROFUSION,,,,,,,,,
,023902,CHAM OBT FILICOIDES,,,,,,,,,
,027302,CLEM VIT MADAME JULIA CORREVON,,,,,,,,,
,027532,CLETHRA ALN RUBY SPICE,,,,,,,,,
,078741,DELOSPERMA FIRE SPINNER R,,,,,,,,,
,097231,DELOSPERMA FIRE WONDER PPAF,,,,,,,,,
,073521,DIANTHUS DRAGON FRUIT PPAF,,,,,,,,,
,004721,DIANTHUS GRAT FIREWITCH,,,,,,,,,
,019312,EUO A COLE'S COMPACT,,,,,,,,,
,037701,GARDENIA AUGUST BEAUTY,,,,,,,,,
,028091,GAURA L PINK CLOUD,,,,,,,,,
,083961,HEM CHICAGO APACHE,,,,,,,,,
,083941,HEM SILOAM GUMDROP,,,,,,,,,
,025205PT,HIB R ERIN RACHEL,,,,,,,,,
,024372S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024372S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,049103,JUN CON BLUE PACIFIC,,,,,,,,,
,059435,MAG G LITTLE GEM,,,,,,,,,
,019522,PAEONIA X BOWL OF BEAUTY (PK),,,,,,,,,
,019775,RHOD (H-1) RTR HOOPLA,,,,,,,,,
,011622S,ROSA KNCK OUT R P11836 (RED),,,,,,,,,
,011625PT,ROSA KNCK OUT R P11836 (RED),,,,,,,,,
,074981S,ROSA OSO EASY R PAPRIKA PPAF,,,,,,,,,
,074981S,ROSA OSO EASY R PAPRIKA PPAF,,,,,,,,,
,089112,ROSA SUNROSA TM RED,,,,,,,,,
,089102,ROSA SUNROSA TM SOFT PINK,,,,,,,,,
,089122,ROSA SUNROSA TM YELLOW,,,,,,,,,
,06559UT,SEMPERVIVUM BLACK,,,,,,,,,
,06561UT,SEMPERVIVUM KREBS DES ROSE,,,,,,,,,
,06573UT,THYMUS ELFIN,,,,,,,,,
,099571,AGAPANTHUS BABY PETE TMPP21705,,,,,,,,,
,018561S,AGASTACHE AUR-HYB TANGO,,,,,,,,,
,059041,AGASTACHE HEATWAVE PP19662,,,,,,,,,
,039021,ANEMONE X WILD SWAN TM PP23132,,,,,,,,,
,003621,ASTILBE CHINENSIS VISIONS,,,,,,,,,
