Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,000702,ACER PAL ATROPURPUREUM-S.,,,,,,,,,
,000752,ACER PAL BLOODGOOD,,,,,,,,,
,400363,ACER PAL FIREGLOW,,,,,,,,,
,000915,ACER PAL SEIRYU,,,,,,,,,
,001275,ACER RUB RED SUNSET R,,,,,,,,,
,000575,AESCULUS X CARNEA FORT MCNAIR,,,,,,,,,
,001651,AGAPANTHUS AFRICANUS,,,,,,,,,
,015931,ANEMONE X HONORINE JOBERT,,,,,,,,,
,038561,ANEMONE X SERENADE,,,,,,,,,
,00269UT,ARMERIA MAR COTTON TAIL,,,,,,,,,
,01946UT,ARMERIA MAR RUBRIFOLIA,,,,,,,,,
,003151,ASPARAGUS MYERS,,,,,,,,,
,007072,AZALEA EX CANNON'S DOUBLE,,,,,,,,,
,008302,AZALEA EX KLONDYKE,,,,,,,,,
,008542,AZALEA EX RED SUNSET,,,,,,,,,
,001812,AZALEA GA KAREN,,,,,,,,,
,402541S,BAM-FARGESIA DENUDATA,,,,,,,,,
,025212,BAM-FARGESIA RUFA (CLUMP),,,,,,,,,
,012032,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
,012202,BER T ROSE GLOW,,,,,,,,,
,002345,BETULA NIGRA DURA HEAT R,,,,,,,,,
,012705PT,BOUG BARBARA KARST,,,,,,,,,
,401292S,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
,401292S,BUD LO&BEHLD R PINK MICRO CHIP,,,,,,,,,
,407622S,BUD LO&BEHOLD BLU CHIP JR,,,,,,,,,
,003011,BUXUS CHICAGOLAND GREEN R,,,,,,,,,
,013825SP,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013891,BUXUS GREEN VELVET,,,,,,,,,
,013892,BUXUS GREEN VELVET,,,,,,,,,
,013895,BUXUS GREEN VELVET,,,,,,,,,
,013701,BUXUS MIC FAULKNER,,,,,,,,,
,013702,BUXUS MIC FAULKNER,,,,,,,,,
,013702,BUXUS MIC FAULKNER,,,,,,,,,
,013902,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,013981,BUXUS SEMP SUFFRUTICOSA,,,,,,,,,
,03597UT,BUXUS WEE WILLIE R PP17007,,,,,,,,,
