Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Cfm,YOUR BOOKED QTY REMAIN,Condition,Current Specs,"QTY 
AVAIL NOW","2ND 
QTY 
AVAIL","2ND 
QTY 
READY DATE",2014 List Price,"YOUR 
20%
DISC PRICE",Freight,Landed Price,YOUR RETAIL PRICE,SKU,UPC#
CA,    ,000171ST,#1 STAKED,ABUTILON ALBUS,White Flowering Maple                                       ,EVS,09,     ,,,,     , 196 ,04/01/14  , 7.50 , 6.00 , 0.49 , 6.49 ,     ,,014949378311
CA,    ,000175ST,#5 STAKED,ABUTILON ALBUS,White Flowering Maple                                       ,EVS,09,     ,,,,     , 26 ,04/15/14  , 24.50 , 19.60 , 2.47 , 22.07 ,     ,,014949001837
CA,    ,000155ST,#5 STAKED,ABUTILON LUTEUS,Yellow Flowering Maple                                      ,EVS,09,     ,,,"36""H - 15""S",     , 43 ,04/15/14  , 24.50 , 19.60 , 2.47 , 22.07 ,     ,,014949787953
CA,    ,000131ST,#1 STAKED,ABUTILON ROSEUS,Pink Flowering Maple                                        ,EVS,09,     ,,-,"24""H", 146 ,     ,          , 7.50 , 6.00 , 0.49 , 6.49 ,     ,,014949907986
CA,    ,000135ST,#5 STAKED,ABUTILON ROSEUS,Pink Flowering Maple                                        ,EVS,09,     ,,BUDS & BLOOMS,"36""H", 8 ,     ,          , 24.50 , 19.60 , 2.47 , 22.07 ,     ,,014949788059
CA,    ,040025,#5,ACACIA ITEAPHYLLA,Willow Wattle                                               ,EVS,09,     ,,-,"24""H",     , 215 ,04/15/14  , 20.50 , 16.40 , 2.47 , 18.87 ,     ,,014949202470
CA,2012,079092,#2,AEONIUM CANARIENSE,Giant Velvet Rose                                           ,CAC,09,     ,,-,"10""S", 295 ,     ,          , 16.25 , 13.00 , 1.24 , 14.24 ,     ,,014949357163
CA,    ,001651,#1,AGAPANTHUS AFRICANUS,Lily Of The Nile                                            ,EVS,08,     ,,-,"10""H", 762 ,     ,          , 5.00 , 4.00 , 0.49 , 4.49 ,     ,,014949016510
CA,    ,099571,#1,AGAPANTHUS BABY PETE TMPP21705,Baby Pete™  Lily Of The Nile,EVS,08,     ,,-,"4""H"," 3,270 ",     ,          , 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949265208
CA,    ,001801,#1,AGAPANTHUS QUEEN ANNE-DIVISION,Queen Anne Lily Of The Nile                                 ,EVS,08,     ,,-,3-5 FANS, 30 ,     ,          , 6.50 , 5.20 , 0.49 , 5.69 ,     ,,014949018019
CA,2013,074122,#2,AGAVE BRACTEOSA CALAMAR,Calamar Squid Agave                                         ,CAC,08,     ,,-,"4""H - 10""S", 440 ," 1,142 ",04/30/14  , 17.75 , 14.20 , 1.85 , 16.05 ,     ,,014949335505
CA,    ,021599,#15,AGAVE DESMETTIANA VARIEGATA,Variegated Dwarf Agave                                      ,CAC,09,     ,,,"18""H - 20""S",     , 278 ,04/01/14  , 50.00 , 40.00 , 18.54 , 58.54 ,     ,,014949070574
CA,2011,068812,#2,AGAVE POTATORUM KISSHO KAN,Lucky Crown Century Plant                                   ,CAC,09,     ,,-,"4""H - 8""S", 68 ,     ,          , 17.75 , 14.20 , 1.85 , 16.05 ,     ,,014949327623
CA,    ,025242,#2,AGAVE VICTORIA-REGINAE,Queen Victoria Agave                                        ,CAC,09,     ,,-,"4""H - 9""S",     , 49 ,06/04/14  , 17.75 , 14.20 , 1.85 , 16.05 ,     ,,014949051337
CA,2010,063801,#1,ALOE DOROTHEAE,Retro Succulents®  Sunset™  Aloe,CAC,10,     ,,-,"4""S", 263 ,,, 7.00 , 5.60 , 0.49 , 6.09 ,     ,,014949314951
CA,2010,063802,#2,ALOE DOROTHEAE,Retro Succulents®  Sunset™  Aloe,CAC,10,     ,,-,"9""S", 374 ,     ,          , 17.75 , 14.20 , 1.24 , 15.44 ,     ,,014949358191
CA,2012,077801,#1,ALOE HYBRID CARMINE TM,Retro Succulents®  Carmine™  Aloe,CAC,09,     ,,SPIKES,"6""S", 58 ,,, 8.00 , 6.40 , 0.49 , 6.89 ,     ,,014949356623
CA,2011,063791,#1,ALOE HYBRID CHRISTMAS CAROL,Christmas Carol Aloe                                        ,CAC,09,     ,,,,     , 882 ,04/01/14  , 8.00 , 6.40 , 0.49 , 6.89 ,     ,,014949314944
CA,2012,077811,#1,ALOE HYBRID DONNIE TM,Retro Succulents®  Donnie™  hybrid Aloe,CAC,09,     ,,SPIKES,6''S, 67 , 127 ,04/01/14  , 8.00 , 6.40 , 0.49 , 6.89 ,     ,,014949356630
CA,2012,077781,#1,ALOE HYBRID GUIDO TM,Retro Succulents®  Guido™  Aloe,CAC,09,     ,,-,"6""S", 383 ,,, 8.00 , 6.40 , 0.49 , 6.89 ,     ,,014949356593
CA,2012,077791,#1,ALOE HYBRID SAL TM,Retro Succulents®  Sal™  Aloe,CAC,09,     ,,SPIKES,6''S, 491 ,,, 8.00 , 6.40 , 0.49 , 6.89 ,     ,,014949356609
CA,2014,069042,#2,ALOE JOHNSON'S HYBRID,                                                            ,CAC,09,     ,,,,     , 6 ,05/07/14  , 17.75 , 14.20 , 1.24 , 15.44 ,     ,,014949358207
CA,2010,064222,#2,ALOE RUDIKOPPE,Little Red Riding Hood Aloe                                 ,CAC,09,     ,,-,"8""H - 8""S", 764 ,     ,          , 17.75 , 14.20 , 1.24 , 15.44 ,     ,,014949353929
CA,    ,040311,#1,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,     ,,,"8""H - 8""S",     , 247 ,04/01/14  , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949202845
CA,    ,040315,#5,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,     ,,,"15""H - 12""S",     , 89 ,04/01/14  , 21.75 , 17.40 , 2.47 , 19.87 ,     ,,014949202869
CA,    ,040315PT,#5 PATIO TREE,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,     ,,BUDS & BLOOMS,"15""S", 796 ,     ,          , 38.50 , 30.80 , 3.71 , 34.51 ,     ,,014949241387
CA,    ,040315ST,#5 STAKED,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,     ,,,,     , 67 ,04/15/14  , 24.00 , 19.20 , 2.47 , 21.67 ,     ,,014949375679
CA,    ,002385PT,#5 PATIO TREE,ALYOGYNE PURPLE DELIGHT TM,Purple Delight™  Lilac Hibiscus,EVS,09,     ,,,"15""S",     , 258 ,04/01/14  , 38.50 , 30.80 , 3.71 , 34.51 ,     ,,014949023754
CA,    ,002421,#1,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,     ,,,"8""H - 8""S",     , 89 ,04/01/14  , 6.75 , 5.40 , 0.49 , 5.89 ,     ,,014949024218
CA,    ,002425,#5,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,     ,,,"15""H - 12""S",     , 5 ,04/01/14  , 21.75 , 17.40 , 2.47 , 19.87 ,     ,,014949024256
CA,    ,002425PT,#5 PATIO TREE,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,     ,,BUDS & BLOOMS,"15""S", 516 ,     ,          , 38.50 , 30.80 , 3.71 , 34.51 ,     ,,014949023952
CA,    ,002425ST,#5 STAKED,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,     ,,BUDS & BLOOMS,"36""H", 339 ,,, 24.00 , 19.20 , 2.47 , 21.67 ,     ,,014949375198
CA,    ,021912,#2,ASCLEPIAS RED BUTTERFLIES,Red Butterflies Milkweed                                    ,PRN,08,     ,,-,"8""H - 10""S",     , 20 ,04/01/14  , 11.00 , 8.80 , 1.24 , 10.04 ,     ,,014949108819
CA,    ,003151,#1,ASPARAGUS MYERS,Foxtail Fern                                                ,FRN,09,     ,,-,6''H," 7,907 ",     ,          , 7.50 , 6.00 , 0.49 , 6.49 ,     ,,014949031513
CA,    ,003152,#2,ASPARAGUS MYERS,Foxtail Fern                                                ,FRN,09,     ,,-,"10""H",     , 297 ,04/01/14  , 15.50 , 12.40 , 1.24 , 13.64 ,     ,,014949031520
CA,    ,003155,#5,ASPARAGUS MYERS,Foxtail Fern                                                ,FRN,09,     ,,-,"13""H",     , 440 ,04/15/14  , 23.00 , 18.40 , 2.47 , 20.87 ,     ,,014949031551
CA,    ,004401,#1,AZALEA B ALASKA,Alaska Azalea                                               ,RHO,09,     ,,LIGHT BUDS,"7""H - 8""S", 75 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949044018
CA,    ,004752PT,#2 PATIO TREE,AZALEA B HAPPY DAYS,Happy Days Azalea                                           ,RHO,09,     ,,-,"12""S",     , 17 ,04/15/14  , 28.50 , 22.80 , 1.85 , 24.65 ,     ,,014949047620
CA,    ,004755,#5,AZALEA B HAPPY DAYS,Happy Days Azalea                                           ,RHO,09,     ,,-,"10""H - 12""S",     , 5 ,04/15/14  , 19.75 , 15.80 , 2.47 , 18.27 ,     ,,014949047552
CA,    ,005251,#1,AZALEA B ROSE GLOW,Rose Glow Azalea                                            ,RHO,09,     ,,BUDS & BLOOMS,"6""H - 8""S", 24 ,     ,          , 5.75 , 4.60 , 0.49 , 5.09 ,     ,,014949052518
