Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
160000,047362,ABIES PIN GLAUCA PROSTRATA,,,,,,,,,
160000,02328M,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,
160000,023285,CEDRUS DEODARA FEELIN BLUE,,,,,,,,,
160000,051275,CEDRUS FEELIN SUNNY R PP23886,,,,,,,,,
160000,024662,CEPHALOTAXUS HAR DUKE GARDENS,,,,,,,,,
160000,024665,CEPHALOTAXUS HAR DUKE GARDENS,,,,,,,,,
160000,017381,CEPHALOTAXUS HAR FASTIGIATA,,,,,,,,,
160000,017382,CEPHALOTAXUS HAR FASTIGIATA,,,,,,,,,
160000,017385,CEPHALOTAXUS HAR FASTIGIATA,,,,,,,,,
160000,028832,CEPHALOTAXUS HAR PROSTRATA,,,,,,,,,
160000,028835,CEPHALOTAXUS HAR PROSTRATA,,,,,,,,,
160000,023902,CHAM OBT FILICOIDES,,,,,,,,,
160000,023905,CHAM OBT FILICOIDES,,,,,,,,,
160000,023682,CHAM OBT GRACILIS,,,,,,,,,
160000,023685,CHAM OBT GRACILIS,,,,,,,,,
160000,023792,CHAM OBT KOSTERI,,,,,,,,,
160000,023912,CHAM OBT TEMPELHOF,,,,,,,,,
160000,047125,CHAM OBT TETRAGONA AUREA,,,,,,,,,
160000,082401,CHAM PIS BABY BLUE,,,,,,,,,
160000,082402,CHAM PIS BABY BLUE,,,,,,,,,
160000,082405,CHAM PIS BABY BLUE,,,,,,,,,
160000,024031,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,
160000,024032,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,
160000,024035,CHAM PIS FIL GOLDEN CHARM,,,,,,,,,
160000,023822,CHAM PIS SQUARROSA MINIMA,,,,,,,,,
160000,023842,CHAM PIS SUNGOLD,,,,,,,,,
160000,031435,CRYPTOMERIA J GLOBOSA NANA,,,,,,,,,
160000,084651,JUN C DAUB'S FROSTED,,,,,,,,,
160000,084652,JUN C DAUB'S FROSTED,,,,,,,,,
160000,084655,JUN C DAUB'S FROSTED,,,,,,,,,
160000,046902,JUN C GOLD COAST R,,,,,,,,,
160000,048001,JUN C MINT JULEP R,,,,,,,,,
160000,048002,JUN C MINT JULEP R,,,,,,,,,
160000,048131,JUN C SEA OF GOLD R PP17622,,,,,,,,,
160000,048135,JUN C SEA OF GOLD R PP17622,,,,,,,,,
160000,049032,JUN COM ALPINE CARPET R,,,,,,,,,
160000,049035,JUN COM ALPINE CARPET R,,,,,,,,,
160000,084905,JUN COMMUNIS VAR MONTANA,,,,,,,,,
160000,049251,JUN H BLUE CHIP,,,,,,,,,
160000,049252,JUN H BLUE CHIP,,,,,,,,,
160000,049255,JUN H BLUE CHIP,,,,,,,,,
160000,049901,JUN H ICEE BLUE R P9639,,,,,,,,,
160000,050201,JUN H YOUNGSTOWN,,,,,,,,,
160000,050202,JUN H YOUNGSTOWN,,,,,,,,,
160000,050205,JUN H YOUNGSTOWN,,,,,,,,,
160000,050901,JUN PRO NANA,,,,,,,,,
160000,050902,JUN PRO NANA,,,,,,,,,
160000,051602,JUN SA BROADMOOR,,,,,,,,,
160000,051605,JUN SA BROADMOOR,,,,,,,,,
160000,051701,JUN SA BUFFALO,,,,,,,,,
160000,051702,JUN SA BUFFALO,,,,,,,,,
160000,051705,JUN SA BUFFALO,,,,,,,,,
160000,051751,JUN SA CALGARY CARPET R,,,,,,,,,
160000,051752,JUN SA CALGARY CARPET R,,,,,,,,,
160000,051755,JUN SA CALGARY CARPET R,,,,,,,,,
160000,051651,JUN SA MOOR-DENSE R,,,,,,,,,
160000,051652,JUN SA MOOR-DENSE R,,,,,,,,,
160000,051655,JUN SA MOOR-DENSE R,,,,,,,,,
160000,052005,JUN SA TAMARISCIFOLIA NEW BLUE,,,,,,,,,
160000,053391,JUN SQUA BLUE STAR,,,,,,,,,
160000,053392,JUN SQUA BLUE STAR,,,,,,,,,
160000,053395,JUN SQUA BLUE STAR,,,,,,,,,
160000,038502,MICROBIOTA FUZZBALL TM P20012,,,,,,,,,
160000,064551,PICEA ABIES LITTLE GEM,,,,,,,,,
160000,064552,PICEA ABIES LITTLE GEM,,,,,,,,,
160000,064561,PICEA ABIES NIDIFORMIS,,,,,,,,,
160000,064562,PICEA ABIES NIDIFORMIS,,,,,,,,,
160000,064565,PICEA ABIES NIDIFORMIS,,,,,,,,,
160000,064581,PICEA ABIES PUMILA,,,,,,,,,
160000,064582,PICEA ABIES PUMILA,,,,,,,,,
160000,064585,PICEA ABIES PUMILA,,,,,,,,,
160000,052552,PICEA ABIES PUSCH,,,,,,,,,
160000,049015,PICEA BICOLOR PROSTRATA,,,,,,,,,
160000,064472,PICEA MARIANA NANA,,,,,,,,,
160000,064475,PICEA MARIANA NANA,,,,,,,,,
160000,06469M,PICEA PUN GLOBOSA,,,,,,,,,
160000,064692,PICEA PUN GLOBOSA,,,,,,,,,
160000,049092,PINUS MUGO BIG TUNA,,,,,,,,,
160000,049095,PINUS MUGO BIG TUNA,,,,,,,,,
160000,048692,PINUS MUGO CARSTENS WINTERGOLD,,,,,,,,,
160000,032742,PINUS MUGO COMPACT SELECT,,,,,,,,,
160000,032745,PINUS MUGO COMPACT SELECT,,,,,,,,,
160000,049075,PINUS MUGO MOPS,,,,,,,,,
160000,065451,PINUS MUGO PUMILIO,,,,,,,,,
160000,06545M,PINUS MUGO PUMILIO,,,,,,,,,
160000,06545MNT,PINUS MUGO PUMILIO,,,,,,,,,
160000,065459NT,PINUS MUGO PUMILIO,,,,,,,,,
160000,065452,PINUS MUGO PUMILIO,,,,,,,,,
160000,065453,PINUS MUGO PUMILIO,,,,,,,,,
160000,065455,PINUS MUGO PUMILIO,,,,,,,,,
160000,065455NT,PINUS MUGO PUMILIO,,,,,,,,,
160000,049635,PINUS MUGO SHERWOOD COMPACT,,,,,,,,,
160000,051175,PINUS MUGO SLOWMOUND,,,,,,,,,
160000,052532,PINUS MUGO VERY COMPACT,,,,,,,,,
160000,049115,PINUS STROBUS BLUE SHAG,,,,,,,,,
160000,065491,PINUS STROBUS NANA,,,,,,,,,
160000,065495,PINUS STROBUS NANA,,,,,,,,,
160000,065535,PINUS SYL GLAUCA NANA,,,,,,,,,
160000,049145,PINUS SYL GLOBOSA VIRIDIS,,,,,,,,,
160000,035142,PODOCARPUS ALP BLUE GEM,,,,,,,,,
160000,035142ST,PODOCARPUS ALP BLUE GEM,,,,,,,,,
160000,035132,PODOCARPUS LAW RED TIP,,,,,,,,,
160000,037052,PODOCARPUS NIV PINK TIP,,,,,,,,,
160000,072342,TAXUS EMERALD SPREADR R P10335,,,,,,,,,
160000,072345,TAXUS EMERALD SPREADR R P10335,,,,,,,,,
160000,028851,TAXUS X MED HUBERS TAWNY GOLD,,,,,,,,,
160000,028852,TAXUS X MED HUBERS TAWNY GOLD,,,,,,,,,
160000,012402,TAXUS X MEDIA BERRYHILLI,,,,,,,,,
160000,012405,TAXUS X MEDIA BERRYHILLI,,,,,,,,,
160000,072302,TAXUS X MEDIA BROWNII,,,,,,,,,
160000,072321,TAXUS X MEDIA DENSIFORMIS,,,,,,,,,
160000,072322,TAXUS X MEDIA DENSIFORMIS,,,,,,,,,
160000,072325,TAXUS X MEDIA DENSIFORMIS,,,,,,,,,
160000,072331,TAXUS X MEDIA HICKSII,,,,,,,,,
160000,07233M,TAXUS X MEDIA HICKSII,,,,,,,,,
