Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,02834ECP,ABELIA KALEIDOSCOPE POSTER,MKT,,,,,,,,
170000,000705,ACER PAL ATROPURPUREUM-S.,TRE,,,,,,,,
170000,000755,ACER PAL BLOODGOOD,TRE,,,,,,,,
170000,00075ECP,ACER PAL BLOODGOOD POSTER,MKT,,,,,,,,
170000,000955ST,ACER PAL CRIMSON QUEEN,TRE,,,,,,,,
170000,00102ECP,ACER PAL SANGOKAKU POSTER,MKT,,,,,,,,
170000,031825,ACER PAL SHIN DESHOJO,TRE,,,,,,,,
170000,018335,ACER PAL SHISHIGASHIRA,TRE,,,,,,,,
170000,000655,ACER PALMATUM,TRE,,,,,,,,
170000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN,,,,,,,,
170000,058241,ACHILLEA APRICOT DLGHT PP18738,PRN,,,,,,,,
170000,029061,ACHILLEA MILL RED VELVET,PRN,,,,,,,,
170000,006241,ACHILLEA MILL SUMMER BERRIES,PRN,,,,,,,,
170000,024961,ACHILLEA MILL SUMMERWINE,PRN,,,,,,,,
170000,001351,ACHILLEA X MOONSHINE,PRN,,,,,,,,
170000,001351,ACHILLEA X MOONSHINE,PRN,,,,,,,,
170000,00142ECP,ACORUS GR OGON POSTER,MKT,,,,,,,,
170000,059041,AGASTACHE HEATWAVE PP19662,PRN,,,,,,,,
170000,059041,AGASTACHE HEATWAVE PP19662,PRN,,,,,,,,
170000,400521,AGASTACHE HYB BLUE BOA PP24050,PRN,,,,,,,,
170000,05364ECP,AGASTACHE SUMMER SKY POSTER,MKT,,,,,,,,
170000,021251,AGASTACHE X BLUE FORTUNE,PRN,,,,,,,,
170000,021251,AGASTACHE X BLUE FORTUNE,PRN,,,,,,,,
170000,08030UT,AJUGA CHOCOLATE CHIP,PRN,,,,,,,,
170000,00189UT,AJUGA REPTANS BRONZE BEAUTY,PRN,,,,,,,,
170000,00189UT,AJUGA REPTANS BRONZE BEAUTY,PRN,,,,,,,,
170000,00059UT,AJUGA REPTANS BURGUNDY GLOW,PRN,,,,,,,,
170000,002561,AKEBIA QUINATA SHIRO BANA,VIN,,,,,,,,
170000,400561,ALLIUM HYB MILLENNIUM,PRN,,,,,,,,
170000,064082,ALOE BLUE ELF,CAC,,,,,,,,
170000,077801,ALOE HYBRID CARMINE TM,CAC,,,,,,,,
170000,035341,AMSONIA HUBRICHTII,PRN,,,,,,,,
170000,029351,AQUILEGIA CAE ORIGAMI MIX,PRN,,,,,,,,
170000,045921,AQUILEGIA CAE ORIGAMI PNK & WT,PRN,,,,,,,,
170000,400041,AQUILEGIA GOLDFINCH,PRN,,,,,,,,
170000,055482,ARALIA CORDATA GOTEMBA,PRN,,,,,,,,
170000,002951,ARCTOSTAPHYLOS MASSACHUSETTS,EVS,,,,,,,,
170000,003041,ARMERIA MAR BLOODSTONE,PRN,,,,,,,,
