Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
,00095MST,ACER PAL CRIMSON QUEEN,,,,,,,,,
,001955,ALBIZIA JUL ROSEA,,,,,,,,,
,001591,ASTILBE BRIDAL VEIL,,,,,,,,,
,003621,ASTILBE CHINENSIS VISIONS,,,,,,,,,
,003501,ASTILBE FANAL,,,,,,,,,
,059151,ASTILBE VISION IN PINK PP11860,,,,,,,,,
,016341,ASTILBE VISION IN RED PP11965,,,,,,,,,
,007772,AZALEA EX GOLDEN FLARE,,,,,,,,,
,007602,AZALEA GR ROSE,,,,,,,,,
,007602,AZALEA GR ROSE,,,,,,,,,
,012031,BER GOLDN NUGGET TM P9577 CBR,,,,,,,,,
,002242,BER T CONCORDE,,,,,,,,,
,012052,BER T CRIMSON PYGMY,,,,,,,,,
,035232,BER T GOLDEN RUBY R PP16203,,,,,,,,,
,012105,BER T HELMOND PILLAR,,,,,,,,,
,013793,BUDDLEJA DAV PINK DELIGHT,,,,,,,,,
,090782,BUXUS GOLDEN TRIUMPH,,,,,,,,,
,013822,BUXUS GREEN MOUNTAIN,,,,,,,,,
,013835CN,BUXUS MIC WINTER GEM,,,,,,,,,
,013905,BUXUS S GREEN TOWER R PP15243,,,,,,,,,
,022711,CAMPSIS BALBOA SUNSET R,,,,,,,,,
,023842,CHAM PIS SUNGOLD,,,,,,,,,
,015901,CLEM X BLUE LIGHT R PP15953,,,,,,,,,
,027261,CLEM X JACKMANII,,,,,,,,,
,027262,CLEM X JACKMANII,,,,,,,,,
,044485,CLEM X JACKMANII SUPERBA,,,,,,,,,
,027071,CLEM X PINK CHAMPAGNE,,,,,,,,,
,027491,CLEM X ROUGE CARDINAL,,,,,,,,,
,018411,CORE CRUZIN' TM MAIN STRT PAF,,,,,,,,,
,030395,CORNUS X VENUS R PP16309,,,,,,,,,
,028552,COT APICULATUS TOM THUMB,,,,,,,,,
,028142,COTINUS COG ROYAL PURPLE,,,,,,,,,
,097231,DELOSPERMA FIRE WONDER PPAF,,,,,,,,,
,029891S,DEUTZIA CHRDNY PERLS R PP16098,,,,,,,,,
,031572,DEUTZIA GRACILIS NIKKO,,,,,,,,,
,091882,DEUTZIA X NIKKO BLUSH NA74356,,,,,,,,,
,004901,DICENTRA SP VALENTINE R P22739,,,,,,,,,
,035621,DICENTRA SPEC GOLD HEART,,,,,,,,,
,085821,DISPORUM CANT MOONLIGHT P24556,,,,,,,,,
,080762,DISPORUM CANT NIGHT HERON,,,,,,,,,
,086821,ECHIN SMBRO TM HOT CORL P23097,,,,,,,,,
,086831,ECHIN SMBRO TM LEMON YLW PPAF,,,,,,,,,
,034502,EUO F MOONSHADOW,,,,,,,,,
,018762,FERN-ATHYRIUM GHOST,,,,,,,,,
,036122,FERN-ATHYRIUM NIP PICTUM,,,,,,,,,
,021222,FERN-DRYOPTERIS ERY BRILLIANCE,,,,,,,,,
,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
,038281,GERANIUM CIN SUBCAULESCENS,,,,,,,,,
,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
,023081,GERANIUM ROZANNE PP12175,,,,,,,,,
,005231,GERANIUM SANGUINEUM MAX FREI,,,,,,,,,
,067792,GR-BOUT BLOND AMBITION PP22048,,,,,,,,,
,014011,GR-CAL ACUT KARL FOERSTER,,,,,,,,,
,028051,GR-ERIANTHUS RAVENNAE,,,,,,,,,
,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,
,089291,GR-HAKONECHLOA FUBUKI PP21757,,,,,,,,,
