Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Allocated,QTY AVAIL NOW,2ND QTY AVAIL,2ND QTY READY DATE,2016 LIST PRICE,"ADD'L 10% 
QTY 
BUY PRICE","ADD'L 12.5% 
QTY
BUY
PRICE","UNIT 
FRT"
OR,,51312,#2,ABIES CONCOLOR CANDICANS,Candicans White Fir                                         ,CON,4,     ,     ,56,5/15/2016,28.6,25.74,25.03,1.45
OR,,51315,#5,ABIES CONCOLOR CANDICANS,Candicans White Fir                                         ,CON,4,     ,     ,9,4/27/2016,48.5,43.65,42.44,2.91
OR,    ,19342,#2,ABIES LAS GLAUCA COMPACTA,Dwarf Blue Rocky Mountain Fir                               ,CON,3,     ,10,     ,          ,28.75,25.88,25.16,1.45
OR,    ,19345,#5,ABIES LAS GLAUCA COMPACTA,Dwarf Blue Rocky Mountain Fir                               ,CON,3,17,     ,17,6/1/2016,48.5,43.65,42.44,2.91
OR,    ,485,#5,ACER GIN RED RHAPSODY R,Red Rhapsody®  Amur Maple,TRE,2,     ,16,96,5/15/2016,28,25.2,24.5,2.91
OR,,58241,#1,ACHILLEA APRICOT DLGHT PP18738,Tutti Frutti Apricot Delight Yarrow                         ,PRN,4,     ,214,,,5.25,4.73,4.59,0.58
OR,    ,407531,#1,ACHILLEA MILL PRETTY BELINDA,Pretty Belinda Yarrow                                       ,PRN,3,     ,447,,,5.25,4.73,4.59,0.58
OR,    ,29061,#1,ACHILLEA MILL RED VELVET,Red Velvet Yarrow                                           ,PRN,3,     ,468,,,5.25,4.73,4.59,0.58
OR,    ,1351,#1,ACHILLEA X MOONSHINE,Moonshine Yarrow                                            ,PRN,3,     ,     ,649,6/1/2016,5.25,4.73,4.59,0.58
OR,X,96081,#1 STAKED,ACTINIDIA ARG HARDY MALE,Hardy Kiwi (Male)                                           ,VIN,4,     ,     ,160,4/27/2016,12,10.8,10.5,0.58
OR,X,96085,#5 STAKED,ACTINIDIA ARG HARDY MALE,Hardy Kiwi (Male)                                           ,VIN,4,     ,134,30,3/1/2016,32.25,29.03,28.22,2.91
OR,    ,1391,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine                                             ,VIN,4,     ,86,     ,          ,12,10.8,10.5,0.58
OR,    ,1395,#5 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine                                             ,VIN,4,     ,83,53,3/1/2016,32.25,29.03,28.22,2.91
OR,    ,28895,#5,AESCULUS X ARN AUTUMN SPLENDOR,Autumn Splendor Horse Chestnut                              ,TRE,4,15,15,     ,          ,35,31.5,30.63,2.91
OR,    ,80301,#1,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle                                 ,PRN,4,     ,165,     ,          ,5.25,4.73,4.59,0.58
OR,    ,08030UT,LittleOne,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle                                 ,PRN,4,     ,83,     ,          ,3.25,2.93,2.84,0.44
OR,    ,00189UT,LittleOne,AJUGA REPTANS BRONZE BEAUTY,Bronze Beauty Carpet Bugle                                  ,PRN,4,     ,1,     ,          ,3.25,2.93,2.84,0.44
OR,    ,591,#1,AJUGA REPTANS BURGUNDY GLOW,Burgundy Glow Carpet Bugle                                  ,PRN,4,     ,511,,,5.25,4.73,4.59,0.58
OR,    ,16632,#2,ANDROMEDA POL BLUE ICE,Blue Ice Bog Rosemary                                       ,EVS,2,     ,140,     ,          ,17.75,15.98,15.53,1.45
OR,    ,2741,#1,ANEMONE SYLVESTRIS,Snowdrop Anemone                                            ,PRN,2,     ,109,     ,          ,5.25,4.73,4.59,0.58
OR,    ,05908UT,LittleOne,AQUILEGIA C LITTLE LANTERNS,Little Lanterns Columbine                                   ,PRN,3,     ,27,     ,          ,3.25,2.93,2.84,0.44
OR,    ,37331,#1,AQUILEGIA CAE ORIGAMI BLU & WT,Origami Blue & White Columbine                              ,PRN,3,     ,     ,181,3/1/2016,5.25,4.73,4.59,0.58
OR,    ,45921,#1,AQUILEGIA CAE ORIGAMI PNK & WT,Origami Pink & White Columbine                              ,PRN,3,     ,     ,280,3/1/2016,5.25,4.73,4.59,0.58
OR,    ,36901,#1,AQUILEGIA CAE ORIGAMI RED & WT,Origami Red & White Columbine                               ,PRN,3,     ,     ,382,3/1/2016,5.25,4.73,4.59,0.58
