Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
2014,400343,ABELIA SUNSHNE DAYDRM PP20961,#3,284,81,0,0,81,$8.50 ,,5/1/2014
2015,049625,ABIES CONCOLOR BLUE CLOAK,#5,39,4,0,0,4,$18.50 ,,
2014,047365,ABIES PIN GLAUCA PROSTRATA,#5,660,42,0,0,42,$8.50 ,,
2015,001075,ACER PAL ATROLINEARE,#5,,,,,,,,
2015,00107M,ACER PAL ATROLINEARE,#10 Squat,,,,,,,,
2014,031825,ACER PAL SHIN DESHOJO,#5,,,,,,,,
2014,03182M,ACER PAL SHIN DESHOJO,#10 Squat,,,,,,,,
2014,049585,ACER PSEUDO ESKIMO SUNSET,#5,,,,,,,,
2015,096081,ACTINIDIA ARG HARDY MALE,#1 STAKED,,,,,,,,
2015,096085,ACTINIDIA ARG HARDY MALE,#5 STAKED,,,,,,,,
    ,025222,AGAVE PARRYI VAR TRUNCATA,#2,,,,,,,,
    ,400863,AZALEA EX ARNESON RUBY,#3,,,,,,,,
    ,400873,AZALEA NL CANDY LIGHTS PPAF,#3,,,,,,,,
    ,400883,AZALEA NL LEMON LIGHTS,#3,,,,,,,,
    ,400903,AZALEA NL TRI-LIGHTS TM PPAF,#3,,,,,,,,
2014,080771S,BER SUNJOY R MINI SALSA PPAF,SuperOne TM,,,,,,,,
2014,080772S,BER SUNJOY R MINI SALSA PPAF,SuperTwo,,,,,,,,
    ,401291S,BUD LO&BEHLD R PINK MICRO CHIP,SuperOne TM,,,,,,,,
    ,401292S,BUD LO&BEHLD R PINK MICRO CHIP,SuperTwo,,,,,,,,
    ,401292S,BUD LO&BEHLD R PINK MICRO CHIP,SuperTwo,,,,,,,,
    ,401292S,BUD LO&BEHLD R PINK MICRO CHIP,SuperTwo,,,,,,,,
    ,401292S,BUD LO&BEHLD R PINK MICRO CHIP,SuperTwo,,,,,,,,
    ,401295,BUD LO&BEHLD R PINK MICRO CHIP,#5,,,,,,,,
    ,407621S,BUD LO&BEHOLD BLU CHIP JR,SuperOne TM,,,,,,,,
    ,407622S,BUD LO&BEHOLD BLU CHIP JR,SuperTwo,,,,,,,,
    ,407622S,BUD LO&BEHOLD BLU CHIP JR,SuperTwo,,,,,,,,
    ,407622S,BUD LO&BEHOLD BLU CHIP JR,SuperTwo,,,,,,,,
    ,407625,BUD LO&BEHOLD BLU CHIP JR,#5,,,,,,,,
2014,094071,BUXUS MIC MORRIS MIDGET,#1,,,,,,,,
2014,054132,BUXUS SEMP UNRAVELED,#2,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,#5,,,,,,,,
2014,080831S,CALYCANTHUS APHRODITE PPAF,SuperOne TM,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,#5,,,,,,,,
2014,080835,CALYCANTHUS APHRODITE PPAF,#5,,,,,,,,
    ,401432ST,CAMP SMR JAZ TM FIRE PP23917,#2 STAKED,,,,,,,,
    ,401435,CAMP SMR JAZ TM FIRE PP23917,#5,,,,,,,,
    ,401435PT,CAMP SMR JAZ TM FIRE PP23917,#5 PATIO TREE,,,,,,,,
    ,401422ST,CAMP SMR JAZ TM SR GOLD P23918,#2 STAKED,,,,,,,,
    ,401425,CAMP SMR JAZ TM SR GOLD P23918,#5,,,,,,,,
    ,401425PT,CAMP SMR JAZ TM SR GOLD P23918,#5 PATIO TREE,,,,,,,,
2014,412915,CAMPSIS RADICANS,#5,,,,,,,,
2015,090182S,CEPHALANTHUS SUGAR SHCK TM PAF,SuperTwo,,,,,,,,
2015,090185,CEPHALANTHUS SUGAR SHCK TM PAF,#5,,,,,,,,
2015,090183S,CEPHALANTHUS SUGAR SHCK TM PAF,Super 3,,,,,,,,
