Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,00075M,ACER PAL BLOODGOOD,TRE,,,,,,,,
170000,00095MST,ACER PAL CRIMSON QUEEN,TRE,,,,,,,,
170000,03182M,ACER PAL SHIN DESHOJO,TRE,,,,,,,,
170000,03033M,ACER SHIR AUTUMN MOON,TRE,,,,,,,,
170000,412802,ALOCASIA EBONY PPAF,PRN,,,,,,,,
170000,087432,ALOCASIA SERENGETI PPAF,PRN,,,,,,,,
170000,002002,ALPINIA ZERUMBET VARIEGATA,PRN,,,,,,,,
170000,066382,ALST ROCK & ROLL R PP21001,PRN,,,,,,,,
170000,002425PT,ALYOGYNE SANTA CRUZ,EVS,,,,,,,,
170000,007072,AZALEA EX CANNON'S DOUBLE,RHO,,,,,,,,
170000,008305,AZALEA EX KLONDYKE,RHO,,,,,,,,
170000,008545,AZALEA EX RED SUNSET,RHO,,,,,,,,
170000,008152,AZALEA KR HINO CRIMSON,RHO,,,,,,,,
170000,400982S,AZALEA LAVENDER JANE TM,RHO,,,,,,,,
170000,025212,BAM-FARGESIA RUFA (CLUMP),GRS,,,,,,,,
170000,035232,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,
170000,035233,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,
170000,401112,BER T GOLDEN TREASURE,DCS,,,,,,,,
170000,062932,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,
170000,01429M,BETULA HERITAGE TM (CLMP),TRE,,,,,,,,
170000,012705,BOUG BARBARA KARST,VIN,,,,,,,,
170000,012705PT,BOUG BARBARA KARST,VIN,,,,,,,,
170000,035045PT,BOUG BENGAL ORANGE,VIN,,,,,,,,
170000,013125,BOUG JAMES WALKER,VIN,,,,,,,,
170000,013055,BOUG PURPLE QUEEN R,VIN,,,,,,,,
170000,013055PT,BOUG PURPLE QUEEN R,VIN,,,,,,,,
170000,013215PT,BOUG RASPBERRY ICE,VIN,,,,,,,,
170000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,080792S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,,,,,,,,
170000,034662S,BUDDLEJA DAV ADONIS BLUE TM,DCS,,,,,,,,
170000,013783,BUDDLEJA DAV BLACK KNIGHT,DCS,,,,,,,,
170000,013572,BUDDLEJA DAV PETITE SNOW TM,DCS,,,,,,,,
170000,013562,BUDDLEJA DAV ROYAL RED,DCS,,,,,,,,
170000,077395,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,
170000,074402S,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,,
170000,074405,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,,
170000,013822,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013823CN,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013825SP,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013891,BUXUS GREEN VELVET,EVS,,,,,,,,
170000,013952,BUXUS J GREEN BEAUTY,EVS,,,,,,,,
170000,013952,BUXUS J GREEN BEAUTY,EVS,,,,,,,,
170000,013832,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013835CN,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013835PY,BUXUS MIC WINTER GEM,EVS,,,,,,,,
170000,013902,BUXUS S GREEN TOWER R PP15243,EVS,,,,,,,,
170000,013905,BUXUS S GREEN TOWER R PP15243,EVS,,,,,,,,
170000,013882,BUXUS SEMP VARIEGATA,EVS,,,,,,,,
170000,080835,CALYCANTHUS APHRODITE PPAF,DCS,,,,,,,,
170000,022711,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,
170000,022715,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,
170000,029212,CANNA TROP BLACK TM PP21350,PRN,,,,,,,,
170000,017412,CANNA TROPICANNA GLD TM P13809,PRN,,,,,,,,
170000,022482,CANNA TROPICANNA TM PP10569,PRN,,,,,,,,
170000,02365M,CHAM NOOT PENDULA,CON,,,,,,,,
170000,023902,CHAM OBT FILICOIDES,CON,,,,,,,,
170000,082405OP,CHAM PIS BABY BLUE,CON,,,,,,,,
170000,082452,CHAM PIS GOLDEN MOP,CON,,,,,,,,
170000,023842,CHAM PIS SUNGOLD,CON,,,,,,,,
170000,027262,CLEM X JACKMANII,VIN,,,,,,,,
170000,027072,CLEM X PINK CHAMPAGNE,VIN,,,,,,,,
170000,026372,CLEM X TOKI,VIN,,,,,,,,
170000,024175,COLOCASIA ANT ILLUSTRIS,PRN,,,,,,,,
170000,024205,COLOCASIA ESC BLACK MAGIC,PRN,,,,,,,,
170000,094081S,CORDYLINE B ELECTRIC PINK PPAF,EVS,,,,,,,,
170000,031721,CORDYLINE BAUERI,EVS,,,,,,,,
170000,017421,CORDYLINE RED STAR,EVS,,,,,,,,
170000,027951,COREOPSIS AURICULATA NANA,PRN,,,,,,,,
170000,027732,CORNUS ALBA ELEGANTISSIMA,DCS,,,,,,,,
170000,045285,CORNUS ALBA PRAIRIE FIRE AUREA,DCS,,,,,,,,
170000,01961M,CORNUS KOUSA WOLF EYES,TRE,,,,,,,,
170000,030491SPT,CUPHEA HYSSOPIFOLIA,PRN,,,,,,,,
170000,093891,CUPHEA LLAVEA RUMBA PP17213,PRN,,,,,,,,
170000,084121,CUPHEA MICROPETALA,PRN,,,,,,,,
170000,031595,DEUTZIA HYBRIDA PINK-A-BOO R,DCS,,,,,,,,
170000,031331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,
170000,004801,DICENTRA BURNINGHEARTS PP20797,PRN,,,,,,,,
170000,004901,DICENTRA SP VALENTINE R P22739,PRN,,,,,,,,
170000,068273,DIERVILLA SES COOL SPLASH,DCS,,,,,,,,
170000,08702UT,ECHINACEA CHEYENNE SPIRIT,PRN,,,,,,,,
170000,033605,EUO ALATUS COMPACTUS,DCS,,,,,,,,
170000,034302,EUO F GOLDEN PRINCE R,EVS,,,,,,,,
170000,034452,EUO F IVORY JADE,EVS,,,,,,,,
170000,034502,EUO F MOONSHADOW,EVS,,,,,,,,
170000,086152S,EUO F WHITE ALBUM TM PPAF,EVS,,,,,,,,
170000,035405,EUO KIA MANHATTAN,EVS,,,,,,,,
170000,035405ES,EUO KIA MANHATTAN,EVS,,,,,,,,
170000,035785,FAGUS SYL TRICOLOR,TRE,,,,,,,,
170000,035905,FERN-ALSOPHILA AUSTRALIS,FRN,,,,,,,,
170000,404801,FERN-MATTEUCCIA STRU THE KING,FRN,,,,,,,,
170000,084912,FERN-POLYSTICHUM MUNITUM,FRN,,,,,,,,
170000,036492,FERN-POLYSTICHUM SET(ANGULARE),FRN,,,,,,,,
170000,036785,FICUS CAR BROWN TURKEY,TRE,,,,,,,,
170000,077431S,FORS X SHOW OFF TM STARLT PAF,DCS,,,,,,,,
170000,037701SPT,GARDENIA AUGUST BEAUTY,EVS,,,,,,,,
170000,097912S,GARDENIA PINWHEEL R PP22510,EVS,,,,,,,,
170000,037961,GAURA L SISKIYOU PINK,PRN,,,,,,,,
170000,023081,GERANIUM ROZANNE PP12175,PRN,,,,,,,,
170000,038331,GERANIUM X CAN BIOKOVO,PRN,,,,,,,,
170000,402977,GINKGO BIL PRINCETON SENTRY R,TRE,,,,,,,,
170000,089051,HELLE WINDCLIFF DBL PINK SDLNG,PRN,,,,,,,,
170000,068041S,HELLE WJEWELS R COTTON CANDY,PRN,,,,,,,,
170000,039831,HEM GOLDEN ZEBRA R PP14221,PRN,,,,,,,,
170000,040111,HEM STELLA DE ORO,PRN,,,,,,,,
170000,040111,HEM STELLA DE ORO,PRN,,,,,,,,
170000,074502S,HIB SYR BLU CHIFFON TM PP20574,DCS,,,,,,,,
170000,016962S,HIB SYR LAV CHIFFON TM PP12619,DCS,,,,,,,,
170000,002357PT,HIB SYR RED HEART,DCS,,,,,,,,
170000,092755,HYD BLUE ENCHANTRESS R PP25209,DCS,,,,,,,,
170000,092755,HYD BLUE ENCHANTRESS R PP25209,DCS,,,,,,,,
170000,017311S,HYD M ENDLESS SUMMER R PP15298,DCS,,,,,,,,
170000,017315,HYD M ENDLESS SUMMER R PP15298,DCS,,,,,,,,
