Item,Plant Name,Botanical Name,Common Name,,,
078761S,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,,
078752S,AZ BLM-A-THON TM LVNDR PP21476,"Rhododendron x 'RLH14P19' P.P.# 21,476                      ",Bloom-A-Thon®  Lavender Reblooming Azalea,,,
078782S,AZ BLM-A-THON TM WHITE PP21512,"Rhododendron x 'RLH1-3P3' P.P.#21,512                       ",Bloom-A-Thon®  White Reblooming Azalea,,,
078782S,AZ BLM-A-THON TM WHITE PP21512,"Rhododendron x 'RLH1-3P3' P.P.#21,512                       ",Bloom-A-Thon®  White Reblooming Azalea,,,
004401,AZALEA B ALASKA,Azalea indica 'Alaska' (Rutherfordiana hybrid)              ,Alaska Azalea                                               ,,,
004752PT,AZALEA B HAPPY DAYS,Azalea indica 'Happy Days'                                  ,Happy Days Azalea                                           ,,,
004755,AZALEA B HAPPY DAYS,Azalea indica 'Happy Days'                                  ,Happy Days Azalea                                           ,,,
005251,AZALEA B ROSE GLOW,Azalea indica 'Rose Glow'                                   ,Rose Glow Azalea                                            ,,,
005252,AZALEA B ROSE GLOW,Azalea indica 'Rose Glow'                                   ,Rose Glow Azalea                                            ,,,
005252PT,AZALEA B ROSE GLOW,Azalea indica 'Rose Glow'                                   ,Rose Glow Azalea                                            ,,,
008451,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,,,
008452,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,,,
007401,AZALEA GR FUCHSIA,Azalea x 'Girard's Fuchsia' (Girard hybrid)                 ,Girard's Fuchsia Azalea                                     ,,,
007401,AZALEA GR FUCHSIA,Azalea x 'Girard's Fuchsia' (Girard hybrid)                 ,Girard's Fuchsia Azalea                                     ,,,
007451,AZALEA GR GIRARD HOT SHOT,Azalea x 'Girard's Hot Shot' (Girard hybrid)                ,Girard's Hot Shot Azalea                                    ,,,
007452,AZALEA GR GIRARD HOT SHOT,Azalea x 'Girard's Hot Shot' (Girard hybrid)                ,Girard's Hot Shot Azalea                                    ,,,
007601,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,
007602,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,
007602,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,
401033,AZALEA KIMBERLYS DBL PINK,                                                            ,                                                            ,,,
401003,AZALEA POUKHANENSE COMP,                                                            ,                                                            ,,,
005601,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,,,
005605,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,,,
005755PT,AZALEA S GEORGE L TABER,Azalea 'George L. Taber' (Southern Indica)                  ,George L. Taber Azalea                                      ,,,
005955,AZALEA S IMP PRINCESS TM,Azalea 'Moness' (Southern Indica)                           ,Imperial Princess™  Azalea,,,
006101,AZALEA S L J BOBBINK,Azalea 'L. J. Bobbink' (Rutherfordiana hybrid)              ,L. J. Bobbink Azalea                                        ,,,
006301,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,
006305,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,
006305PT,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,
006505,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,,,
006505PT,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,,,
401043,AZALEA SWEET SIXTEEN PP12847,                                                            ,                                                            ,,,
