Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,001813,AZALEA GA KAREN,RHO, 20 , 20 , 20 , 20 , 20 , 32.95 ,,5/1/2014
550000,035041,BOUG BENGAL ORANGE,VIN, 10 , 10 , 10 , 10 , 10 , 18.95 ,,5/1/2014
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS, 20 , 20 , 20 , 20 , 20 , 29.95 ,,5/1/2014
550000,077412S,BUD LO&BEHLD R PRPL HAZE PPAF,DCS, 20 , 20 , 20 , 20 , 20 , 29.95 ,,5/1/2014
550000,023081,GERANIUM ROZANNE PP12175,PRN, 38 , 38 , 38 , 38 , 38 , 14.95 ,,5/1/2014
550000,023081,GERANIUM ROZANNE PP12175,PRN, 10 , 10 , 10 , 10 , 10 , 14.95 ,,5/1/2014
550000,037541,HEUCHERA OBSIDIAN PP14836,PRN, 48 , 48 , 48 , 48 , 48 , 14.95 ,,5/1/2014
550000,016953S,HIB SYR BLUE SATIN TM PP12680,DCS, 13 , 13 , 13 , 13 , 13 , 39.95 ,,5/1/2014
550000,035023,HYD END SUM R BLSH BRID P17169,DCS, 15 , 15 , 15 , 15 , 15 , 39.95 ,,5/1/2014
550000,403883,HYD END SUM R TWST-N-SHT R PAF,DCS, 10 , 10 , 10 , 10 , 10 , 39.95 ,,5/1/2014
550000,017312S,HYD M ENDLESS SUMMER R PP15298,DCS, 40 , 40 , 40 , 40 , 40 , 35.95 ,,5/1/2014
550000,017313,HYD M ENDLESS SUMMER R PP15298,DCS, 60 , 60 , 60 , 60 , 60 , 39.95 ,,5/1/2014
550000,017315,HYD M ENDLESS SUMMER R PP15298,DCS, 10 , 10 , 10 , 10 , 10 , 49.95 ,,5/1/2014
550000,017315,HYD M ENDLESS SUMMER R PP15298,DCS, 20 , 20 , 20 , 20 , 20 , 49.95 ,,5/1/2014
550000,403752S,HYD M PEPPERMINT SWIRL TM PPAF,DCS, 10 , 10 , 10 , 10 , 10 , 35.95 ,,5/1/2014
550000,089953S,HYD P LITTLE QUICK FIRE R PPAF,DCS, 40 , 40 , 40 , 40 , 40 , 39.95 ,,5/1/2014
550000,080953S,HYD PAN BOBO R PP22782,DCS, 60 , 60 , 60 , 60 , 60 , 39.95 ,,5/1/2014
550000,024373S,HYD PAN LIMELIGHT PP12874,DCS, 20 , 20 , 20 , 20 , 20 , 39.95 ,,5/1/2014
550000,024377PT,HYD PAN LIMELIGHT PP12874,DCS, 20 , 20 , 20 , 20 , 20 , 149.95 ,,5/1/2014
550000,029923S,HYD PAN LITTLE LIME PPAF,DCS, 40 , 40 , 40 , 40 , 40 , 39.95 ,,5/1/2014
550000,042447PT,HYD PAN PINK DIAMOND,DCS, 5 , 5 , 5 , 5 , 5 , 149.95 ,,5/1/2014
550000,074603S,HYD PAN QUICK FIRE R PP16812,DCS, 10 , 10 , 10 , 10 , 10 , 39.95 ,,5/1/2014
550000,074607PT,HYD PAN QUICK FIRE R PP16812,DCS, 5 , 5 , 5 , 5 , 5 , 149.95 ,,5/1/2014
550000,404003,HYD PAN STRWBRY SUNDAE TM PPAF,DCS, 20 , 20 , 20 , 20 , 20 , 39.95 ,,5/1/2014
550000,404043,HYD PAN VNLA STRWBRY TM P20670,DCS, 20 , 20 , 20 , 20 , 20 , 39.95 ,,5/1/2014
550000,045673,ILEX X BLUE MAID,EVS, 19 , 19 , 19 , 19 , 19 , 39.95 ,,5/1/2014
550000,014883,ILEX X EMERALD MAGIC PP12314,EVS, 77 , 77 , 77 , 77 , 77 , 45.95 ,,5/1/2014
550000,404372,LAG RED FILLI PP14353,DCS, 40 , 40 , 40 , 40 , 40 , 39.95 ,,5/1/2014
550000,404392,LAG VIOLET FILLI PP14267,DCS, 40 , 40 , 40 , 40 , 40 , 39.95 ,,5/1/2014
550000,009671,LIRIOPE MUSCARI BIG BLUE,GRS, 50 , 50 , 50 , 50 , 50 , 9.95 ,,5/1/2014
550000,009791,LIRIOPE MUSCARI VARIEGATA,GRS, 100 , 100 , 100 , 100 , 100 , 9.95 ,,5/1/2014
550000,060435,MAG G BRACKENS BROWN BEAUTY,TRE, 20 , 20 , 20 , 20 , 20 , 119.95 ,,5/1/2014
550000,060439,MAG G BRACKENS BROWN BEAUTY,TRE, 5 , 5 , 5 , 5 , 5 , 249.95 ,,5/1/2014
550000,061147,MALUS X PRAIRIFIRE,TRE, 5 , 5 , 5 , 5 , 5 , 109.95 ,,5/1/2014
550000,09238UT,MAN SUN PAR R GARDEN CRIMSON,VIN, 16 , 16 , 16 , 16 , 16 , 10.95 ,,5/1/2014
550000,062183,MYRICA PENSYLVANICA,EVS, 15 , 15 , 15 , 15 , 15 , 39.95 ,,5/1/2014
550000,405262,PHYSOCARPUS LTLE DEVIL TM PPAF,DCS, 16 , 16 , 16 , 16 , 16 , 35.95 ,,5/1/2014
550000,064623SP,PICEA GL CONICA,CON, 10 , 10 , 10 , 10 , 10 , 99.95 ,,5/1/2014
550000,066937,PRUNUS X SNOW FOUNTAIN TM,TRE, 10 , 10 , 10 , 10 , 10 , 129.95 ,,5/1/2014
550000,020793S,RHAMNUS FRA FINELINE R PP14791,DCS, 9 , 9 , 9 , 9 , 9 , 39.95 ,,5/1/2014
550000,098552S,ROSA DRIFT R CORAL PP19148,ROS, 19 , 19 , 19 , 19 , 19 , 29.95 ,,5/1/2014
550000,098553SPT,ROSA DRIFT R CORAL PP19148,ROS, 4 , 4 , 4 , 4 , 4 , 69.95 ,,5/1/2014
550000,098562S,ROSA DRIFT R PEACH PP18542,ROS, 38 , 38 , 38 , 38 , 38 , 29.95 ,,5/1/2014
550000,022633SPT,ROSA DRIFT R PINK PP18874,ROS, 5 , 5 , 5 , 5 , 5 , 69.95 ,,5/1/2014
550000,022642S,ROSA DRIFT R RED PP17877,ROS, 30 , 30 , 30 , 30 , 30 , 29.95 ,,5/1/2014
550000,023783S,ROSA KNCK OUT R BLSHNG P14700,ROS, 30 , 30 , 30 , 30 , 30 , 29.95 ,,5/1/2014
550000,042823S,ROSA KNCK OUT R DBL PNK P18507,ROS, 50 , 50 , 50 , 50 , 50 , 29.95 ,,5/1/2014
550000,030903S,ROSA KNCK OUT R DBL RD P16202,ROS, 87 , 87 , 87 , 87 , 87 , 29.95 ,,5/1/2014
550000,011623S,ROSA KNCK OUT R P11836 (RED),ROS, 100 , 100 , 100 , 100 , 100 , 29.95 ,,5/1/2014
550000,022153S,ROSA KNCK OUT R P15070 (PINK),ROS, 30 , 30 , 30 , 30 , 30 , 29.95 ,,5/1/2014
550000,037863S,ROSA KNCK OUT R SUNNY P18562,ROS, 37 , 37 , 37 , 37 , 37 , 29.95 ,,5/1/2014
550000,406253,ROSA PEACHY KEEN PPAF,ROS, 75 , 75 , 75 , 75 , 75 , 29.95 ,,5/1/2014
550000,098583,ROSA WHITE OUT TM PP20273,ROS, 15 , 15 , 15 , 15 , 15 , 29.95 ,,5/1/2014
550000,074683S,SYRINGA BLOOMERNG R PUR P20575,DCS, 30 , 30 , 30 , 30 , 30 , 39.95 ,,5/1/2014
550000,071867PT,SYRINGA MEYERI PALIBIN,DCS, 10 , 10 , 10 , 10 , 10 , 179.95 ,,5/1/2014
550000,406943,SYRINGA V YANKEE DOODLE,DCS, 10 , 10 , 10 , 10 , 10 , 39.95 ,,5/1/2014
550000,07346UT,VERBENA X PURPLE SPREADER TM,PRN, 24 , 24 , 24 , 24 , 24 , 6.95 ,,5/1/2014
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
