Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,511,ACHILLEA OERTEL'S ROSE,PRN,,,,,,,,
170000,1995,ALBIZIA J SUMMER CHOC PP13822,TRE,,,,,,,,
170000,36901,AQUILEGIA CAE ORIGAMI RED & WT,PRN,,,,,,,,
170000,3041,ARMERIA MAR BLOODSTONE,PRN,,,,,,,,
170000,2691,ARMERIA MAR COTTON TAIL,PRN,,,,,,,,
170000,1011,ARTEMISIA SCHM SILVER MOUND,PRN,,,,,,,,
170000,3411,ASTER PURPLE DOME,PRN,,,,,,,,
170000,1591,ASTILBE BRIDAL VEIL,PRN,,,,,,,,
170000,3621,ASTILBE CHINENSIS VISIONS,PRN,,,,,,,,
170000,3565,AUCUBA MR GOLDSTRIKE,EVS,,,,,,,,
170000,078762S,AZ BLM-A-THON TM DB PK PP21477,RHO,,,,,,,,
170000,078772S,AZ BLM-A-THON TM RED PP21562,RHO,,,,,,,,
170000,078782S,AZ BLM-A-THON TM WHITE PP21512,RHO,,,,,,,,
170000,012705PT,BOUG BARBARA KARST,VIN,,,,,,,,
170000,013055PT,BOUG PURPLE QUEEN R,VIN,,,,,,,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,13563,BUDDLEJA DAV ROYAL RED,DCS,,,,,,,,
170000,077392S,BUDDLEJA MISS MOLLY PPAF,DCS,,,,,,,,
170000,074401S,BUDDLEJA X MISS RUBY PPAF,DCS,,,,,,,,
170000,13822,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013825PY,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013825SP,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,13905,BUXUS S GREEN TOWER R PP15243,EVS,,,,,,,,
170000,13882,BUXUS SEMP VARIEGATA,EVS,,,,,,,,
170000,23021,CHRYS (LEUCANTH) X SUP BECKY,PRN,,,,,,,,
170000,4221,CHRYS (LEUCANTH) X SUP SNOWCAP,PRN,,,,,,,,
170000,38002,CLEM TEX PRINCESS DIANA,VIN,,,,,,,,
170000,27011,CLEM X ERNEST MARKHAM,VIN,,,,,,,,
170000,27011,CLEM X ERNEST MARKHAM,VIN,,,,,,,,
170000,44481,CLEM X JACKMANII SUPERBA,VIN,,,,,,,,
170000,27441,CLEM X NELLY MOSER,VIN,,,,,,,,
170000,27961,COREOPSIS VERT MOONBEAM,PRN,,,,,,,,
170000,27961,COREOPSIS VERT MOONBEAM,PRN,,,,,,,,
170000,027735PT,CORNUS ALBA ELEGANTISSIMA,DCS,,,,,,,,
170000,30509,CUP LEYLANDII,CON,,,,,,,,
170000,029891S,DEUTZIA CHRDNY PERLS R PP16098,DCS,,,,,,,,
170000,31331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,
170000,31331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,
170000,4721,DIANTHUS GRAT FIREWITCH,PRN,,,,,,,,
170000,4721,DIANTHUS GRAT FIREWITCH,PRN,,,,,,,,
170000,97211,ECHIN SMBRO TM FLMNCO ORNG,PRN,,,,,,,,
170000,86821,ECHIN SMBRO TM HOT CORL P23097,PRN,,,,,,,,
170000,7051,ECHIN SUPREME CANTALOUPE PPAF,PRN,,,,,,,,
170000,87021,ECHINACEA CHEYENNE SPIRIT,PRN,,,,,,,,
170000,22831,ECHINACEA CRNBRY CUPCAKE PPAF,PRN,,,,,,,,
170000,4891,ECHINACEA KIMS KNEE HI PP12242,PRN,,,,,,,,
170000,47511,ECHINACEA PNK DBL DLITE P18803,PRN,,,,,,,,
170000,43401,ECHINACEA PRAIRIE SPLENDOR,PRN,,,,,,,,
170000,59741,ECHINACEA PUR HOT PAPAYA PPAF,PRN,,,,,,,,
170000,39581,ECHINACEA PUR MERLOT PP18814,PRN,,,,,,,,
170000,36281,ECHINACEA SUNDOWN TM PP17659,PRN,,,,,,,,
170000,57301,ECHINACEA TOMATO SOUP PPAF,PRN,,,,,,,,
170000,34805,EUO J AUREO MARGINATUS,EVS,,,,,,,,
170000,33665,EUO J CHOLLIPO,EVS,,,,,,,,
170000,033665ES,EUO J CHOLLIPO,EVS,,,,,,,,
170000,35122,EUO J MICRO SUNNY DELIGHT R,EVS,,,,,,,,
170000,35405,EUO KIA MANHATTAN,EVS,,,,,,,,
170000,35405,EUO KIA MANHATTAN,EVS,,,,,,,,
170000,18761,FERN-ATHYRIUM GHOST,FRN,,,,,,,,
170000,36121,FERN-ATHYRIUM NIP PICTUM,FRN,,,,,,,,
170000,36241,FERN-DRYOPTERIS ERYTHROSORA,FRN,,,,,,,,
170000,35711,GAILLARDIA ARIZONA SUN,PRN,,,,,,,,
170000,097912S,GARDENIA PINWHEEL R PP22510,EVS,,,,,,,,
170000,38241,GERANIUM CIN BALLERINA,PRN,,,,,,,,
170000,23081,GERANIUM ROZANNE PP12175,PRN,,,,,,,,
170000,5231,GERANIUM SANGUINEUM MAX FREI,PRN,,,,,,,,
170000,5231,GERANIUM SANGUINEUM MAX FREI,PRN,,,,,,,,
