Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,400343,ABELIA SUNSHNE DAYDRM PP20961,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,000402,ACANTHUS OAK LEAF,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,001881,AGAPANTHUS X MIDKNIGHT BLUE R,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,059041,AGASTACHE HEATWAVE PP19662,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,021251,AGASTACHE X BLUE FORTUNE,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,007072,AZALEA EX CANNON'S DOUBLE,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,008302,AZALEA EX KLONDYKE,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,008305,AZALEA EX KLONDYKE,RHO,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012052,BER T CRIMSON PYGMY,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,012102,BER T HELMOND PILLAR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,011932,BER T SUNSATION R PP11332 CBR,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080811S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,080831S,CALYCANTHUS APHRODITE PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,014515,CALYCANTHUS FLORIDUS,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,017412,CANNA TROPICANNA GLD TM P13809,PRN,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074453S,CHAEN DBLTKE TM PK STRM P20920,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,074773S,CHAEN DBLTKE TM SCR STRM PPAF,DCS,284,81,0,0,81,$8.50 ,,5/1/2014
550000,031721,CORDYLINE BAUERI,EVS,284,81,0,0,81,$8.50 ,,5/1/2014
