Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,31871,HOSTA ABIQUA DRINKING GOURD,,,,,,,,,
550000,36981,HOSTA APHRODITE,,,,,,,,,
550000,6861,HOSTA BIG DADDY,,,,,,,,,
550000,403531,HOSTA BLUE MOUSE EARS,,,,,,,,,
550000,25101,HOSTA CHRISTMAS TREE,,,,,,,,,
550000,403611,HOSTA EARTH ANGEL,,,,,,,,,
550000,068241S,HOSTA EMPRESS WU PP20774,,,,,,,,,
550000,93061,HOSTA ENTERPRISE,,,,,,,,,
550000,17491,HOSTA FIRE & ICE,,,,,,,,,
550000,42981,HOSTA FIRST FROST,,,,,,,,,
550000,41861,HOSTA FLUCTUANS VARIEG (SAGAE),,,,,,,,,
550000,403491,HOSTA FRAGRANT BOUQUET,,,,,,,,,
550000,04169UT,HOSTA FRANCEE,,,,,,,,,
550000,41691,HOSTA FRANCEE,,,,,,,,,
550000,19911,HOSTA GREAT EXPECTATIONS,,,,,,,,,
550000,17521,HOSTA GUACAMOLE,,,,,,,,,
550000,17531,HOSTA JUNE,,,,,,,,,
550000,6981,HOSTA MINUTEMAN,,,,,,,,,
550000,41651,HOSTA NIGHT BEFORE CHRISTMAS,,,,,,,,,
550000,28391,HOSTA OLIVE BAILEY LANGDON,,,,,,,,,
550000,403561,HOSTA PARADIGM,,,,,,,,,
550000,41881,HOSTA PATRIOT,,,,,,,,,
550000,62011,HOSTA PAUL'S GLORY,,,,,,,,,
550000,403621,HOSTA PRAYING HANDS,,,,,,,,,
550000,93111,HOSTA RAINFOREST SUNRISE,,,,,,,,,
550000,403641,HOSTA SO SWEET,,,,,,,,,
550000,44671,HOSTA STAINED GLASS PPAF,,,,,,,,,
550000,29791,HOSTA STRIPTEASE,,,,,,,,,
550000,83971,HOSTA SUM & SUBSTANCE,,,,,,,,,
550000,16301,HOSTA TOKUDAMA FLAVOCIRCINALIS,,,,,,,,,
550000,93131,HOSTA VICTORY,,,,,,,,,
550000,41851,HOSTA WIDE BRIM,,,,,,,,,
550000,82011,HOSTA X LIBERTY,,,,,,,,,
550000,409661X,HOSTA COLOR FESTIVAL,,,,,,,,,
550000,068242X,HOSTA EMPRESS WU PP20774,,,,,,,,,
550000,414501X,HOSTA FIRN LINE,,,,,,,,,
550000,414511X,HOSTA MAGIC ISLAND,,,,,,,,,
550000,409691X,HOSTA SUNSET GROOVES,,,,,,,,,
