Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
450000,074533S,HYD A INVINCE SPIRIT R PP20765,DCS,100,100,100,100,100,17.50 ,,5/1/2014
450000,041713,HYD ARB ANNABELLE,DCS,100,100,100,100,100,14.95 ,,5/1/2014
450000,074525,HYD ARB INCREDIBALL R PP20571,DCS,100,100,100,100,100,24.00 ,,5/1/2014
450000,403863,HYD DBL DLT TM EXPRESN P18393,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403673,HYD DBL DLT TM STR GAZR P20998,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403802,HYD END SUM R BLMSTRCK TM PPAF,DCS,100,100,100,100,100,14.50 ,,5/1/2014
450000,035023,HYD END SUM R BLSH BRID P17169,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403883,HYD END SUM R TWST-N-SHT R PAF,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403885,HYD END SUM R TWST-N-SHT R PAF,DCS,100,100,100,100,100,26.50 ,,5/1/2014
450000,403743,HYD EVRLSTG TM REVLTN P22260,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403703,HYD FRVR & EVR R BLU HV P18823,DCS,100,100,100,100,100,21.50 ,,5/1/2014
450000,403693,HYD FRVR & EVR R RED P18450,DCS,100,100,100,100,100,21.50 ,,5/1/2014
450000,403733,HYD FRVR & EVR R WHT OUT PPAF,DCS,100,100,100,100,100,21.50 ,,5/1/2014
450000,092755,HYD M BLUE ENCHANTRESS R PPAF,DCS,100,100,100,100,100,24.50 ,,5/1/2014
450000,092755,HYD M BLUE ENCHANTRESS R PPAF,DCS,100,100,100,100,100,24.50 ,,5/1/2014
450000,017313,HYD M ENDLESS SUMMER R PP15298,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,017315,HYD M ENDLESS SUMMER R PP15298,DCS,100,100,100,100,100,26.50 ,,5/1/2014
450000,403763,HYD M NXT GEN PISTACHIO PPAF,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403921S,HYD M NXT GEN RED SNSTN P18197,DCS,100,100,100,100,100,9.50 ,,5/1/2014
450000,403923,HYD M NXT GEN RED SNSTN P18197,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403752S,HYD M PEPPERMINT SWIRL TM PPAF,DCS,100,100,100,100,100,14.50 ,,5/1/2014
450000,403772S,HYD M SWEETHEART HALOS TM,DCS,100,100,100,100,100,14.50 ,,5/1/2014
450000,403813,HYD MAC BLUE CASSEL TM,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403833S,HYD MAC CTYLN TM MARS PPAF,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,074543S,HYD MAC CTYLN TM RIO,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,074573S,HYD MAC CTYLN TM VENICE P10928,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403843S,HYD MAC CTYLN TM VIENNA P10930,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403662S,HYD MAC DBL DUSTY PINK TM,DCS,100,100,100,100,100,14.50 ,,5/1/2014
450000,403682S,HYD MAC DOUBLE HOT PINK TM,DCS,100,100,100,100,100,14.50 ,,5/1/2014
450000,403872S,HYD MAC ELECTRIC ROUGE TM,DCS,100,100,100,100,100,14.50 ,,5/1/2014
450000,403893,HYD MAC GUILDED GOLD TM PPAF,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,077462S,HYD MAC LD R BIG EASY PPAF,DCS,100,100,100,100,100,14.50 ,,5/1/2014
450000,086313S,HYD MAC LD R RHYTHMIC BLUE PAF,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,074582S,HYD MAC LD R STARLIGHT PP20019,DCS,100,100,100,100,100,14.50 ,,5/1/2014
450000,074583S,HYD MAC LD R STARLIGHT PP20019,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,023753,HYD MAC PENNY MAC,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,028223,HYD MAC WEDDING GOWN PP21052,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,403943,HYD MAC ZEBRA PP14527,DCS,100,100,100,100,100,19.50 ,,5/1/2014
450000,089953S,HYD P LITTLE QUICK FIRE R PPAF,DCS,100,100,100,100,100,16.50 ,,5/1/2014
450000,080953S,HYD PAN BOBO R PP22782,DCS,100,100,100,100,100,16.50 ,,5/1/2014
450000,084803,HYD PAN BOMBSHELL PP21008,DCS,100,100,100,100,100,16.50 ,,5/1/2014
450000,080203,HYD PAN FIRE AND ICE PPAF,DCS,100,100,100,100,100,16.50 ,,5/1/2014
450000,024373S,HYD PAN LIMELIGHT PP12874,DCS,100,100,100,100,100,16.50 ,,5/1/2014
450000,024377,HYD PAN LIMELIGHT PP12874,DCS,100,100,100,100,100,27.50 ,,5/1/2014
450000,024377PT,HYD PAN LIMELIGHT PP12874,DCS,100,100,100,100,100,49.50 ,,5/1/2014
450000,029923S,HYD PAN LITTLE LIME PPAF,DCS,100,100,100,100,100,16.50 ,,5/1/2014
450000,403993,HYD PAN PHANTOM,DCS,100,100,100,100,100,16.50 ,,5/1/2014
450000,403997PT,HYD PAN PHANTOM,DCS,100,100,100,100,100,49.50 ,,5/1/2014
450000,042447PT,HYD PAN PINK DIAMOND,DCS,100,100,100,100,100,49.50 ,,5/1/2014
