Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
170000,000753,ACER PAL BLOODGOOD,TRE,,,,,,,,
170000,00075ECP,ACER PAL BLOODGOOD POSTER,MKT,,,,,,,,
170000,033215,ACER PAL KAGIRI NISHIKI,TRE,,,,,,,,
170000,400445,ACER PAL RYUSEN PP18501,TRE,,,,,,,,
170000,029093ST,ACER PAL TAMUKEYAMA,TRE,,,,,,,,
170000,049585,ACER PSEUDO ESKIMO SUNSET,TRE,,,,,,,,
170000,018561,AGASTACHE AUR-HYB TANGO,PRN,,,,,,,,
170000,059041,AGASTACHE HEATWAVE PP19662,PRN,,,,,,,,
170000,400521,AGASTACHE HYB BLUE BOA PP24050,PRN,,,,,,,,
170000,00193UT,AJUGA REPTANS CATLIN'S GIANT,PRN,,,,,,,,
170000,063791,ALOE HYBRID CHRISTMAS CAROL,CAC,,,,,,,,
170000,077791,ALOE HYBRID SAL TM,CAC,,,,,,,,
170000,05908UT,AQUILEGIA C LITTLE LANTERNS,PRN,,,,,,,,
170000,407602,ARALIA CORDATA SUN KING,PRN,,,,,,,,
170000,003151,ASPARAGUS MYERS,FRN,,,,,,,,
170000,007072,AZALEA EX CANNON'S DOUBLE,RHO,,,,,,,,
170000,008302,AZALEA EX KLONDYKE,RHO,,,,,,,,
170000,008542,AZALEA EX RED SUNSET,RHO,,,,,,,,
170000,047652,AZALEA FRAGRANT STAR,RHO,,,,,,,,
170000,001813,AZALEA GA KAREN,RHO,,,,,,,,
170000,401033,AZALEA KIMBERLYS DBL PINK,RHO,,,,,,,,
170000,401043,AZALEA SWEET SIXTEEN PP12847,RHO,,,,,,,,
170000,401061,BAPTISIA SOLAR FLARE PP20408,PRN,,,,,,,,
170000,401081,BAPTISIA TWILITE PP19011,PRN,,,,,,,,
170000,05917UT,BELLIS PERENNIS ROMINETTE MIX,PRN,,,,,,,,
170000,090122BH,BOUG BLUEBERRY ICE,VIN,,,,,,,,
170000,013052PT,BOUG PURPLE QUEEN R,VIN,,,,,,,,
170000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,,,,,,,,
170000,080811S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,,,,,,,,
170000,080791S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,,,,,,,,
170000,077412S,BUD LO&BEHLD R PRPL HAZE PPAF,DCS,,,,,,,,
170000,013825CN,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013825SP,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,
170000,013952,BUXUS J GREEN BEAUTY,EVS,,,,,,,,
170000,013832,BUXUS MIC WINTER GEM,EVS,,,,,,,,
