Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,077445,HYD ABRACADABRA TM ORB PP21635,DCS,,,,,,,,
160000,063832,HYD ANG GOLDEN CRANE R,DCS,,,,,,,,
550000,041712,HYD ARB ANNABELLE,DCS,,,,,,,,
450000,074525,HYD ARB INCREDIBALL R PP20571,DCS,,,,,,,,
160000,056455,HYD ASPERA PLUM PASSION R,DCS,,,,,,,,
550000,056455,HYD ASPERA PLUM PASSION R,DCS,,,,,,,,
450000,092755,HYD BLUE ENCHANTRESS R PP25209,DCS,,,,,,,,
450000,403862,HYD DBL DLT TM EXPRESN P18393,DCS,,,,,,,,
160000,075632,HYD INTEG TAIPING SHAN CLIMBNG,VIN,,,,,,,,
450000,017313,HYD M ENDLESS SUMMER R PP15298,DCS,,,,,,,,
550000,403923,HYD M NXT GEN RED SNSTN P18197,DCS,,,,,,,,
450000,403782,HYD M NXT GEN WDNG RNG P21161,DCS,,,,,,,,
170000,042285,HYD MAC BUTTNS'N BOWS R P11405,DCS,,,,,,,,
450000,403822S,HYD MAC CTYLN TM BERLIN P10912,DCS,,,,,,,,
550000,074561S,HYD MAC CTYLN TM PARIS PP10906,DCS,,,,,,,,
550000,074542S,HYD MAC CTYLN TM RIO,DCS,,,,,,,,
550000,074571S,HYD MAC CTYLN TM VENICE P10928,DCS,,,,,,,,
450000,028743S,HYD MAC LADY IN RED R PP15175,DCS,,,,,,,,
550000,077465,HYD MAC LD R BIG EASY PPAF,DCS,,,,,,,,
450000,086303S,HYD MAC LD R DIVA,DCS,,,,,,,,
550000,074595,HYD MAC LD R MOONLIGHT PP20020,DCS,,,,,,,,
550000,086315,HYD MAC LD R RHYTHMIC BLUE PAF,DCS,,,,,,,,
160000,074582S,HYD MAC LD R STARLIGHT PP20019,DCS,,,,,,,,
170000,041925,HYD MAC MARIESII VARIEGATA,DCS,,,,,,,,
550000,038775,HYD MAC MINI PENNY TM PP15744,DCS,,,,,,,,
550000,041967,HYD MAC NIKKO BLUE,DCS,,,,,,,,
550000,023751,HYD MAC PENNY MAC,DCS,,,,,,,,
450000,403682,HYD MAC PERFECTION P21221,DCS,,,,,,,,
170000,042075,HYD MAC PINK ELF R (PIA),DCS,,,,,,,,
170000,041975,HYD MAC PINK N PRETTY R,DCS,,,,,,,,
450000,041985,HYD MAC RED N PRETTY R,DCS,,,,,,,,
550000,007447,HYD MAC VARIEGATA,DCS,,,,,,,,
170000,028225,HYD MAC WEDDING GOWN PP21052,DCS,,,,,,,,
450000,403943,HYD MAC ZEBRA PP14527,DCS,,,,,,,,
160000,042025,HYD PAN ANGEL'S BLUSH R P10751,DCS,,,,,,,,
450000,089943S,HYD PAN FIRE LIGHT TM PPAF,DCS,,,,,,,,
450000,024377PT,HYD PAN LIMELIGHT PP12874,DCS,,,,,,,,
450000,403993,HYD PAN PHANTOM,DCS,,,,,,,,
550000,042445PT,HYD PAN PINK DIAMOND,DCS,,,,,,,,
550000,074615,HYD PAN PINKY WINKY TM PP16166,DCS,,,,,,,,
450000,074603S,HYD PAN QUICK FIRE R PP16812,DCS,,,,,,,,
450000,404053,HYD PAN WHT DIAMONDS R P19082,DCS,,,,,,,,
450000,041935,HYD QUER ALICE,DCS,,,,,,,,
170000,093171,HYD QUER MUNCHKIN,DCS,,,,,,,,
160000,042565,HYD QUER PEE WEE,DCS,,,,,,,,
160000,048162,HYD QUER RUBY SLIPPERS,DCS,,,,,,,,
160000,042065,HYD QUER SNOW QUEEN,DCS,,,,,,,,
170000,042035,HYD SER BLUEBIRD,DCS,,,,,,,,
450000,086322S,HYD SER TINY TUFF STUFF TM,DCS,,,,,,,,
550000,080962S,HYD SER TUFF STUFF TM PPAF,DCS,,,,,,,,
160000,056485,HYD SERRATA CHIRI-SAN SUE (DH),DCS,,,,,,,,
170000,028325,HYD VAUGHN'S LILLIE R PP12982,DCS,,,,,,,,
,074532S,HYD A INVINCE SPIRIT R PP20765,,,,,,,,,
,074532S,HYD A INVINCE SPIRIT R PP20765,,,,,,,,,
,074532S,HYD A INVINCE SPIRIT R PP20765,,,,,,,,,
,074522S,HYD ARB INCREDIBALL R PP20571,,,,,,,,,
,074522S,HYD ARB INCREDIBALL R PP20571,,,,,,,,,
,074522S,HYD ARB INCREDIBALL R PP20571,,,,,,,,,
,074525,HYD ARB INCREDIBALL R PP20571,,,,,,,,,
,019215,HYD ARB WHITE DOME R PP14168,,,,,,,,,
,019215,HYD ARB WHITE DOME R PP14168,,,,,,,,,
,092751,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092752,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092752,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092752,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092752,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092755,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,042281,HYD MAC BUTTNS'N BOWS R P11405,,,,,,,,,
,042281,HYD MAC BUTTNS'N BOWS R P11405,,,,,,,,,
,042281,HYD MAC BUTTNS'N BOWS R P11405,,,,,,,,,
,042285,HYD MAC BUTTNS'N BOWS R P11405,,,,,,,,,
,042285,HYD MAC BUTTNS'N BOWS R P11405,,,,,,,,,
,074561S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
,074562S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
,074562S,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
,074541S,HYD MAC CTYLN TM RIO,,,,,,,,,
,074542S,HYD MAC CTYLN TM RIO,,,,,,,,,
,074542S,HYD MAC CTYLN TM RIO,,,,,,,,,
,077461S,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,077461S,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,077462S,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,077462S,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,077465,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,077465,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,077465,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,074592S,HYD MAC LD R MOONLIGHT PP20020,,,,,,,,,
,074595,HYD MAC LD R MOONLIGHT PP20020,,,,,,,,,
,074595,HYD MAC LD R MOONLIGHT PP20020,,,,,,,,,
,086312S,HYD MAC LD R RHYTHMIC BLUE PAF,,,,,,,,,
,086312S,HYD MAC LD R RHYTHMIC BLUE PAF,,,,,,,,,
,074582S,HYD MAC LD R STARLIGHT PP20019,,,,,,,,,
,074585,HYD MAC LD R STARLIGHT PP20019,,,,,,,,,
,041921,HYD MAC MARIESII VARIEGATA,,,,,,,,,
,041925,HYD MAC MARIESII VARIEGATA,,,,,,,,,
,041955,HYD MAC MERRITT'S BEAUTY,,,,,,,,,
,038775,HYD MAC MINI PENNY TM PP15744,,,,,,,,,
,038775,HYD MAC MINI PENNY TM PP15744,,,,,,,,,
,041961,HYD MAC NIKKO BLUE,,,,,,,,,
,041961,HYD MAC NIKKO BLUE,,,,,,,,,
,041965,HYD MAC NIKKO BLUE,,,,,,,,,
,023752,HYD MAC PENNY MAC,,,,,,,,,
,023755,HYD MAC PENNY MAC,,,,,,,,,
,042071,HYD MAC PINK ELF R (PIA),,,,,,,,,
,042071,HYD MAC PINK ELF R (PIA),,,,,,,,,
,042071,HYD MAC PINK ELF R (PIA),,,,,,,,,
,042071X,HYD MAC PINK ELF R (PIA),,,,,,,,,
,042072,HYD MAC PINK ELF R (PIA),,,,,,,,,
,042072,HYD MAC PINK ELF R (PIA),,,,,,,,,
,042072,HYD MAC PINK ELF R (PIA),,,,,,,,,
,042075,HYD MAC PINK ELF R (PIA),,,,,,,,,
,042075,HYD MAC PINK ELF R (PIA),,,,,,,,,
,041971,HYD MAC PINK N PRETTY R,,,,,,,,,
,041971,HYD MAC PINK N PRETTY R,,,,,,,,,
,041971,HYD MAC PINK N PRETTY R,,,,,,,,,
,041971LR,HYD MAC PINK N PRETTY R,,,,,,,,,
,041975,HYD MAC PINK N PRETTY R,,,,,,,,,
,041975,HYD MAC PINK N PRETTY R,,,,,,,,,
,041981,HYD MAC RED N PRETTY R,,,,,,,,,
,041981,HYD MAC RED N PRETTY R,,,,,,,,,
,041981,HYD MAC RED N PRETTY R,,,,,,,,,
,041985,HYD MAC RED N PRETTY R,,,,,,,,,
,041985,HYD MAC RED N PRETTY R,,,,,,,,,
,041985,HYD MAC RED N PRETTY R,,,,,,,,,
,409842,HYD MAC SF 109 UPSILON PPAF,,,,,,,,,
,028225,HYD MAC WEDDING GOWN PP21052,,,,,,,,,
,042101,HYD MAC WHITE,,,,,,,,,
,042105,HYD MAC WHITE,,,,,,,,,
,042105,HYD MAC WHITE,,,,,,,,,
,089952S,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,
,089952S,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,
,080952S,HYD PAN BOBO R PP22782,,,,,,,,,
,089941S,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,
,089945,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,
,024371PTX,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024371S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024371S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024372S,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024375,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024375,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024375,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024375PT,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024375PT,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024375PT,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,029921PTX,HYD PAN LITTLE LIME PPAF,,,,,,,,,
,029922S,HYD PAN LITTLE LIME PPAF,,,,,,,,,
,029925PT,HYD PAN LITTLE LIME PPAF,,,,,,,,,
,074612S,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
,074612S,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
,074615,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
,093171X,HYD QUER MUNCHKIN,,,,,,,,,
,093175,HYD QUER MUNCHKIN,,,,,,,,,
,093175,HYD QUER MUNCHKIN,,,,,,,,,
,048161X,HYD QUER RUBY SLIPPERS,,,,,,,,,
,048162,HYD QUER RUBY SLIPPERS,,,,,,,,,
,048162,HYD QUER RUBY SLIPPERS,,,,,,,,,
,048162,HYD QUER RUBY SLIPPERS,,,,,,,,,
,042061X,HYD QUER SNOW QUEEN,,,,,,,,,
,042065,HYD QUER SNOW QUEEN,,,,,,,,,
,042045,HYD QUER SNOWFLAKE,,,,,,,,,
,042035,HYD SER BLUEBIRD,,,,,,,,,
,042035,HYD SER BLUEBIRD,,,,,,,,,
,080961S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
,080962S,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
,028321X,HYD VAUGHN'S LILLIE R PP12982,,,,,,,,,
,028322,HYD VAUGHN'S LILLIE R PP12982,,,,,,,,,
,028322,HYD VAUGHN'S LILLIE R PP12982,,,,,,,,,
,028325,HYD VAUGHN'S LILLIE R PP12982,,,,,,,,,
,09275P32,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092754PM,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,092754PM,HYD BLUE ENCHANTRESS R PP25209,,,,,,,,,
,04228P32,HYD MAC BUTTNS'N BOWS R P11405,,,,,,,,,
,042284PM,HYD MAC BUTTNS'N BOWS R P11405,,,,,,,,,
,042284PM,HYD MAC BUTTNS'N BOWS R P11405,,,,,,,,,
,074564PM,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
,074564PM,HYD MAC CTYLN TM PARIS PP10906,,,,,,,,,
,074544PM,HYD MAC CTYLN TM RIO,,,,,,,,,
,074544PM,HYD MAC CTYLN TM RIO,,,,,,,,,
,077464PM,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,077464PM,HYD MAC LD R BIG EASY PPAF,,,,,,,,,
,074594PM,HYD MAC LD R MOONLIGHT PP20020,,,,,,,,,
,086314PM,HYD MAC LD R RHYTHMIC BLUE PAF,,,,,,,,,
,041924PM,HYD MAC MARIESII VARIEGATA,,,,,,,,,
,04195P32,HYD MAC MERRITT'S BEAUTY,,,,,,,,,
,04195P32,HYD MAC MERRITT'S BEAUTY,,,,,,,,,
,041954PM,HYD MAC MERRITT'S BEAUTY,,,,,,,,,
,038774PM,HYD MAC MINI PENNY TM PP15744,,,,,,,,,
,038774PM,HYD MAC MINI PENNY TM PP15744,,,,,,,,,
,04207P32,HYD MAC PINK ELF R (PIA),,,,,,,,,
,04207P32,HYD MAC PINK ELF R (PIA),,,,,,,,,
,04207P32,HYD MAC PINK ELF R (PIA),,,,,,,,,
,04207P32,HYD MAC PINK ELF R (PIA),,,,,,,,,
,04207RP,HYD MAC PINK ELF R (PIA),,,,,,,,,
,041974PM,HYD MAC PINK N PRETTY R,,,,,,,,,
,041974PM,HYD MAC PINK N PRETTY R,,,,,,,,,
,04198P32,HYD MAC RED N PRETTY R,,,,,,,,,
,041984PM,HYD MAC RED N PRETTY R,,,,,,,,,
,041984PM,HYD MAC RED N PRETTY R,,,,,,,,,
,041984PM,HYD MAC RED N PRETTY R,,,,,,,,,
,02822BYL,HYD MAC WEDDING GOWN PP21052,,,,,,,,,
,04210P32,HYD MAC WHITE,,,,,,,,,
,04210P32,HYD MAC WHITE,,,,,,,,,
,04210P32,HYD MAC WHITE,,,,,,,,,
,042104PM,HYD MAC WHITE,,,,,,,,,
,042104PM,HYD MAC WHITE,,,,,,,,,
,08995RP,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,
,089954PM,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,
,089954PM,HYD P LITTLE QUICK FIRE R PPAF,,,,,,,,,
,08994RP,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,
,08994RP,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,
,089944PM,HYD PAN FIRE LIGHT TM PPAF,,,,,,,,,
,02437RP,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024374PM,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,024374PM,HYD PAN LIMELIGHT PP12874,,,,,,,,,
,02992RP,HYD PAN LITTLE LIME PPAF,,,,,,,,,
,029924PM,HYD PAN LITTLE LIME PPAF,,,,,,,,,
,029924PM,HYD PAN LITTLE LIME PPAF,,,,,,,,,
,029924PM,HYD PAN LITTLE LIME PPAF,,,,,,,,,
,074614PM,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
,074614PM,HYD PAN PINKY WINKY TM PP16166,,,,,,,,,
,074604PM,HYD PAN QUICK FIRE R PP16812,,,,,,,,,
,04816P72,HYD QUER RUBY SLIPPERS,,,,,,,,,
,080964PM,HYD SER TUFF STUFF TM PPAF,,,,,,,,,
