Branch,item,Description,,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
2014,400343,ABELIA SUNSHNE DAYDRM PP20961,,284,81,0,0,81,$8.50 ,,5/1/2014
2015,090182S,CEPHALANTHUS SUGAR SHCK TM PAF,,39,4,0,0,4,$18.50 ,,
2015,090185,CEPHALANTHUS SUGAR SHCK TM PAF,,660,42,0,0,42,$8.50 ,,
2015,090183S,CEPHALANTHUS SUGAR SHCK TM PAF,,,,,,,,,
2014,055535,CLETHRA BARBINERVIS VARIEGATA,,,,,,,,,
    ,414683,SAMBUCUS CANADENSIS ADAMS,,,,,,,,,
    ,098612ST,ABUTILON TIGER EYE,,,,,,,,,
2014,096532,ALST INTICANCHA R BRYCE,,,,,,,,,
2014,096522,ALST INTICANCHA R NAVAYO,,,,,,,,,
2014,096492,ALST INTICANCHA R SUNLIGHT,,,,,,,,,
2014,096512,ALST INTICANCHA R WHT BLSH PNK,,,,,,,,,
2014,066382,ALST ROCK & ROLL R PP21001,,,,,,,,,
    ,013191,BOUG MARY PALMERS ENCHANTMT,,,,,,,,,
    ,013195,BOUG MARY PALMERS ENCHANTMT,,,,,,,,,
2015,095732BH,BOUG SUNVILLEA TM ROSE PP23272,,,,,,,,,
    ,033711,CUPHEA HYS RIVERDENE GOLD PPAF,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2015,410421,DIGITALIS FXLGT TM RBY GLW PAF,,,,,,,,,
2014,081762,FUCHSIA DEBRON'S FNNY VALNTINE,,,,,,,,,
2014,081772,FUCHSIA DEBRON'S JOAN LOU,,,,,,,,,
2014,081752,FUCHSIA DEBRON'S SNOW FAIRY,,,,,,,,,
    ,056871,LANTANA CAM LEMON SWIRL R,,,,,,,,,
2014,09238UT,MAN SUN PAR R GARDEN CRIMSON,,,,,,,,,
2014,09238UT,MAN SUN PAR R GARDEN CRIMSON,,,,,,,,,
2015,097771,MIMULUS JELLY BEAN DRK PNK PAF,,,,,,,,,
2014,097741,PENSTEMON PARRYI,,,,,,,,,
2015,097761,RUELLIA PENINSULARIS,,,,,,,,,
2014,090471,SALVIA AMISTAD PPAF,,,,,,,,,
2015,409171,SALVIA GREGGII RADIO RED,,,,,,,,,
2015,409171,SALVIA GREGGII RADIO RED,,,,,,,,,
2015,085121,SALVIA MELLIFERA POINT MUGU,,,,,,,,,
2014,085081,TECOMA X BELLS OF FIRE TM,,,,,,,,,
2015,409221,VERB ENDURASCP TM RED PPAF,,,,,,,,,
2015,409221,VERB ENDURASCP TM RED PPAF,,,,,,,,,
2014,018561,AGASTACHE AUR-HYB TANGO,,,,,,,,,
    ,400521,AGASTACHE HYB BLUE BOA PP24050,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412511,AGASTACHE KUDOS CORAL PPAF,,,,,,,,,
2015,412521,AGASTACHE KUDOS GOLD PPAF,,,,,,,,,
2015,412521,AGASTACHE KUDOS GOLD PPAF,,,,,,,,,
2015,408331,AGASTACHE LITTLE ADDER PPAF,,,,,,,,,
2015,408331,AGASTACHE LITTLE ADDER PPAF,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
2015,412531,ASTER N-A VIBRANT DOME,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
    ,401061,BAPTISIA SOLAR FLARE PP20408,,,,,,,,,
2015,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
2015,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
2015,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
2015,412561,CHRY (LEU) REAL CHARMER PPAF,,,,,,,,,
2015,412571,CHRY (LEU) REAL GALAXY PPAF,,,,,,,,,
2015,412571,CHRY (LEU) REAL GALAXY PPAF,,,,,,,,,
2015,412571,CHRY (LEU) REAL GALAXY PPAF,,,,,,,,,
2015,412571,CHRY (LEU) REAL GALAXY PPAF,,,,,,,,,
    ,40159UT,CHRYS (LEUCANTH) X FREAK PPAF,,,,,,,,,
    ,02661UT,CHRYS (LEUCANTH) X SUP CRAZY,,,,,,,,,
2015,408541,CORE LIL' BANG TM RED ELF,,,,,,,,,
2015,408541,CORE LIL' BANG TM RED ELF,,,,,,,,,
2015,408541,CORE LIL' BANG TM RED ELF,,,,,,,,,
2014,086821,ECHIN SMBRO TM HOT CORL P23097,,,,,,,,,
2014,086821,ECHIN SMBRO TM HOT CORL P23097,,,,,,,,,
2014,086821,ECHIN SMBRO TM HOT CORL P23097,,,,,,,,,
2014,086841,ECHIN SMBRO TM SALSA RD P23105,,,,,,,,,
2014,086841,ECHIN SMBRO TM SALSA RD P23105,,,,,,,,,
2014,086841,ECHIN SMBRO TM SALSA RD P23105,,,,,,,,,
2015,054441,ECHINACEA FLAME THROWER P21932,,,,,,,,,
2015,054441,ECHINACEA FLAME THROWER P21932,,,,,,,,,
2015,054971,ECHINACEA HOT LAVA PPAF,,,,,,,,,
2015,054971,ECHINACEA HOT LAVA PPAF,,,,,,,,,
2015,408761,GAILLARDIA SUNSET CUTIE PPAF,,,,,,,,,
2015,408761,GAILLARDIA SUNSET CUTIE PPAF,,,,,,,,,
2015,408761,GAILLARDIA SUNSET CUTIE PPAF,,,,,,,,,
2015,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
2015,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
2015,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
2015,408801,GAILLARDIA SUNSET SNAPPY PPAF,,,,,,,,,
2015,412661,GAURA L LITTLE JANIE,,,,,,,,,
2015,412661,GAURA L LITTLE JANIE,,,,,,,,,
2014,086711,GAURA L PINK LADY PP17494,,,,,,,,,
    ,034712,HIB MOS DAVE FLEMING PP21392,,,,,,,,,
2015,409001,PENST ROCK CANDY TM PINK PPAF,,,,,,,,,
2015,409001,PENST ROCK CANDY TM PINK PPAF,,,,,,,,,
2015,409001,PENST ROCK CANDY TM PINK PPAF,,,,,,,,,
2015,409001,PENST ROCK CANDY TM PINK PPAF,,,,,,,,,
2015,409011,PENST ROCK CANDY TM PRPL PPAF,,,,,,,,,
2015,409011,PENST ROCK CANDY TM PRPL PPAF,,,,,,,,,
2015,409011,PENST ROCK CANDY TM PRPL PPAF,,,,,,,,,
