Branch,item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
550000,000755,ACER PAL BLOODGOOD,TRE, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,412802,ALOCASIA EBONY PPAF,PRN, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,087432,ALOCASIA SERENGETI PPAF,PRN, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,064082,ALOE BLUE ELF,CAC, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,002535MU,AMEL AUTUMN BRILLIANCE R,TRE, 2 , 2 , 2 , 2 , 2 ,,,5/1/2014
550000,001011,ARTEMISIA SCHM SILVER MOUND,PRN, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,001011,ARTEMISIA SCHM SILVER MOUND,PRN, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,003621,ASTILBE CHINENSIS VISIONS,PRN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,027501,ASTILBE COLOR FLASH R PP17343,PRN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,003541,ASTILBE RHEINLAND,PRN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,001813,AZALEA GA KAREN,RHO, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,400982S,AZALEA LAVENDER JANE TM,RHO, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,025212,BAM-FARGESIA RUFA (CLUMP),GRS, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,035041,BOUG BENGAL ORANGE,VIN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,013211,BOUG RASPBERRY ICE,VIN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,013651,BRUNNERA MAC VARIEGATA,PRN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,407622S,BUD LO&BEHOLD BLU CHIP JR,DCS, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,401302,BUD SUMMER SKIES PP22465,DCS, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,077391S,BUDDLEJA MISS MOLLY PPAF,DCS, 15 , 15 , 15 , 15 , 15 ,,,5/1/2014
550000,013825CN,BUXUS GREEN MOUNTAIN,EVS, 6 , 6 , 6 , 6 , 6 ,,,5/1/2014
550000,013891,BUXUS GREEN VELVET,EVS, 25 , 25 , 25 , 25 , 25 ,,,5/1/2014
550000,013833,BUXUS MIC WINTER GEM,EVS, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,013901,BUXUS S GREEN TOWER R PP15243,EVS, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,013902,BUXUS S GREEN TOWER R PP15243,EVS, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,PRN, 32 , 32 , 32 , 32 , 32 ,,,5/1/2014
550000,017412,CANNA TROPICANNA GLD TM P13809,PRN, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,022481,CANNA TROPICANNA TM PP10569,PRN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,401767,CERCIS C THE RISING SUN P21451,TRE, 2 , 2 , 2 , 2 , 2 ,,,5/1/2014
550000,017857,CERCIS LAVENDER TWIST R P10328,TRE, 1 , 1 , 1 , 1 , 1 ,,,5/1/2014
550000,082452,CHAM PIS GOLDEN MOP,CON, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,004221,CHRYS (LEUCANTH) X SUP SNOWCAP,PRN, 15 , 15 , 15 , 15 , 15 ,,,5/1/2014
550000,027472,CLEM PANICULATA,VIN, 5 , 5 , 5 , 5 , 5 ,,,5/1/2014
550000,027221,CLEM X COMTESSE DE BOUCHAUD,VIN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,027261,CLEM X JACKMANII,VIN, 8 , 8 , 8 , 8 , 8 ,,,5/1/2014
550000,027262,CLEM X JACKMANII,VIN, 2 , 2 , 2 , 2 , 2 ,,,5/1/2014
550000,027461,CLEM X NIOBE,VIN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,031732,CORD FESTIVAL TM BRGNDY P14224,EVS, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,018411,CORE CRUZIN' TM MAIN STRT PAF,PRN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,00659UT,COREOPSIS GRAND 'HELIOT',PRN, 16 , 16 , 16 , 16 , 16 ,,,5/1/2014
550000,058261,COREOPSIS VER ROUTE 66 PP20609,PRN, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,045281,CORNUS ALBA PRAIRIE FIRE AUREA,DCS, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
550000,074801S,CORNUS S ARCTIC FIRE TM P18523,DCS, 10 , 10 , 10 , 10 , 10 ,,,5/1/2014
